Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,621000,1.656e-15,1.000000000000e+00,5.966e-04,1.001e-05
2,Stiffness,712000,9.950e-16,2.000000000000e+00,1.225e-03,8.178e-07
3,Stiffness,817500,4.427e-16,3.000000000000e+00,9.513e-04,7.794e-07
4,Stiffness,925500,1.329e-15,4.000000000000e+00,7.635e-04,8.372e-07
5,Stiffness,1072500,9.313e-16,5.000000000000e+00,1.374e-03,1.034e-06
6,Stiffness,1244000,8.876e-16,6.000000000000e+00,9.535e-04,7.124e-07
7,Stiffness,1452000,7.613e-16,7.000000000000e+00,1.037e-03,7.360e-07
8,Stiffness,1717500,9.999e-16,8.000000000000e+00,1.368e-03,1.030e-06
9,Stiffness,2731500,1.191e-15,9.000000000000e+00,9.699e-04,4.627e-07
10,Stiffness,2635000,1.073e-15,1.000000000000e+01,7.111e-04,2.754e-06
11,Stiffness,2518500,4.881e-16,1.100000000000e+01,1.340e-03,3.956e-07
12,Stiffness,2584000,2.239e-16,1.200000000000e+01,1.200e-03,2.782e-07
13,Stiffness,2790000,8.275e-16,1.300000000000e+01,1.173e-03,2.841e-07
14,Stiffness,3026000,9.614e-16,1.400000000000e+01,1.090e-03,2.439e-07
15,Stiffness,1641500,8.921e-16,1.500000000000e+01,1.297e-03,1.141e-06
16,Stiffness,1263500,1.171e-15,1.600000000000e+01,9.922e-04,1.188e-06
17,Stiffness,1028500,6.303e-16,1.700000000000e+01,1.281e-03,1.358e-06
18,Stiffness,889000,0.000e+00,1.800000000000e+01,9.067e-04,1.360e-06
19,Stiffness,789500,4.234e-16,1.900000000000e+01,7.192e-04,1.381e-06
20,Stiffness,706000,1.341e-15,2.000000000000e+01,1.332e-03,1.472e-06
21,Stiffness,641500,1.022e-15,2.100000000000e+01,7.712e-04,1.565e-06
22,Stiffness,593000,6.103e-16,2.200000000000e+01,7.505e-04,1.592e-06
23,Stiffness,552000,1.168e-16,2.300000000000e+01,9.316e-04,1.632e-06
24,Stiffness,515500,7.839e-16,2.400000000000e+01,9.910e-04,1.723e-06
25,Stiffness,486000,4.302e-16,2.500000000000e+01,1.081e-03,1.766e-06
26,Stiffness,459500,6.208e-16,2.600000000000e+01,8.456e-04,1.846e-06
27,Stiffness,436500,5.981e-16,2.700000000000e+01,7.327e-04,1.921e-06
28,Stiffness,416500,7.693e-16,2.800000000000e+01,1.053e-03,1.964e-06
29,Stiffness,399000,5.573e-16,2.900000000000e+01,1.301e-03,2.001e-06
30,Stiffness,381500,1.797e-16,3.000000000000e+01,8.656e-04,2.118e-06
31,Stiffness,365000,1.218e-15,3.100000000000e+01,1.236e-03,2.267e-06
32,Stiffness,352000,1.180e-15,3.200000000000e+01,7.865e-04,2.322e-06
33,Stiffness,341000,8.177e-16,3.300000000000e+01,1.287e-03,2.322e-06
34,Stiffness,328500,6.352e-16,3.400000000000e+01,1.415e-03,9.191e-06
35,Stiffness,318500,7.716e-16,3.500000000000e+01,1.156e-03,2.518e-06
36,Stiffness,309000,7.505e-16,3.600000000000e+01,1.134e-03,2.589e-06
37,Stiffness,300000,8.766e-16,3.700000000000e+01,1.331e-03,2.666e-06
38,Stiffness,291500,1.423e-15,3.800000000000e+01,1.351e-03,2.776e-06
39,Stiffness,284000,6.936e-16,3.900000000000e+01,1.141e-03,2.813e-06
40,Stiffness,277000,9.472e-16,4.000000000000e+01,1.113e-03,2.865e-06
41,Stiffness,269500,1.056e-15,4.100000000000e+01,8.415e-04,2.993e-06
42,Stiffness,263000,7.738e-16,4.200000000000e+01,1.021e-03,3.081e-06
43,Stiffness,258000,6.301e-16,4.300000000000e+01,1.379e-03,3.248e-06
44,Stiffness,251500,1.232e-16,4.400000000000e+01,2.511e-04,3.212e-06
45,Stiffness,246000,6.026e-16,4.500000000000e+01,1.052e-03,3.301e-06
46,Stiffness,240500,7.076e-16,4.600000000000e+01,1.101e-03,3.418e-06
47,Stiffness,235500,1.386e-15,4.700000000000e+01,1.033e-03,3.521e-06
48,Stiffness,231500,2.262e-16,4.800000000000e+01,2.040e-07,3.527e-06
49,Stiffness,226500,1.108e-15,4.900000000000e+01,1.213e-03,3.667e-06
50,Stiffness,222000,6.520e-16,5.000000000000e+01,1.095e-03,3.784e-06
51,Stiffness,218000,4.263e-16,5.100000000000e+01,1.063e-03,3.864e-06
52,Stiffness,214500,1.255e-15,5.200000000000e+01,1.332e-03,3.901e-06
53,Stiffness,211000,4.105e-16,5.300000000000e+01,1.158e-03,3.956e-06
54,Stiffness,207500,4.031e-16,5.400000000000e+01,7.518e-04,4.029e-06
55,Stiffness,203500,5.938e-16,5.500000000000e+01,7.567e-04,4.198e-06
56,Stiffness,200500,5.834e-16,5.600000000000e+01,1.019e-03,4.242e-06
57,Stiffness,197000,9.556e-16,5.700000000000e+01,1.102e-03,4.388e-06
58,Stiffness,194000,5.637e-16,5.800000000000e+01,1.068e-03,4.472e-06
59,Stiffness,191500,1.848e-16,5.900000000000e+01,6.677e-04,4.487e-06
60,Stiffness,188000,5.453e-16,6.000000000000e+01,8.362e-04,4.708e-06
61,Stiffness,185500,3.577e-16,6.100000000000e+01,8.712e-04,4.762e-06
62,Stiffness,182500,1.408e-15,6.200000000000e+01,1.051e-03,4.919e-06
63,Stiffness,180000,1.213e-15,6.300000000000e+01,1.177e-03,4.986e-06
64,Stiffness,177500,1.194e-15,6.400000000000e+01,1.226e-03,5.097e-06
65,Stiffness,175000,1.345e-15,6.500000000000e+01,9.534e-04,5.212e-06
66,Stiffness,173000,6.623e-16,6.600000000000e+01,7.971e-04,5.231e-06
67,Stiffness,170500,9.790e-16,6.700000000000e+01,8.610e-04,5.385e-06
68,Stiffness,168500,1.287e-15,6.800000000000e+01,9.643e-04,5.457e-06
69,Stiffness,166500,6.342e-16,6.900000000000e+01,9.675e-04,5.518e-06
70,Stiffness,164000,1.720e-15,7.000000000000e+01,1.210e-03,5.737e-06
71,Stiffness,162000,6.167e-16,7.100000000000e+01,7.281e-04,5.833e-06
72,Stiffness,160000,1.217e-15,7.200000000000e+01,7.305e-04,5.945e-06
73,Stiffness,158500,1.350e-15,7.300000000000e+01,1.266e-03,5.948e-06
74,Stiffness,156500,5.923e-16,7.400000000000e+01,7.623e-04,6.085e-06
75,Stiffness,154500,2.046e-15,7.500000000000e+01,1.062e-03,6.252e-06
76,Stiffness,153000,1.154e-15,7.600000000000e+01,9.546e-04,6.285e-06
77,Stiffness,151500,8.547e-16,7.700000000000e+01,1.192e-03,6.335e-06
78,Stiffness,149500,1.266e-15,7.800000000000e+01,7.173e-04,6.553e-06
79,Stiffness,148000,1.250e-15,7.900000000000e+01,1.289e-03,6.605e-06
80,Stiffness,146500,1.098e-15,8.000000000000e+01,1.201e-03,6.670e-06
81,Stiffness,145000,5.423e-16,8.100000000000e+01,8.678e-04,6.783e-06
82,Stiffness,143500,1.474e-15,8.200000000000e+01,1.164e-03,6.868e-06
83,Stiffness,142000,6.620e-16,8.300000000000e+01,8.720e-04,6.991e-06
84,Stiffness,140500,1.701e-15,8.400000000000e+01,1.354e-03,7.121e-06
85,Stiffness,139000,1.035e-15,8.500000000000e+01,7.302e-04,7.253e-06
86,Stiffness,138000,3.837e-16,8.600000000000e+01,1.016e-03,7.217e-06
87,Stiffness,136500,1.644e-15,8.700000000000e+01,1.315e-03,7.371e-06
88,Stiffness,135000,1.626e-15,8.800000000000e+01,1.182e-03,7.568e-06
89,Stiffness,134000,9.896e-16,8.900000000000e+01,1.183e-03,7.546e-06
90,Stiffness,132500,1.958e-15,9.000000000000e+01,1.064e-03,7.763e-06
91,Stiffness,131500,7.263e-16,9.100000000000e+01,7.398e-04,7.766e-06
