residual_subdivisions,start_index,start,body_relative_eps,body_absolute_radius,edge_relative_eps,edge_absolute_radius,edge_factor_rows_norm,body_through_edge_term,edge_on_body_term,cross_term,active_difference_radius,propagated_center_separation,archived_center_separation,center_relative_discrepancy,endpoint_separation_lower,endpoint_pass
8,67,667.5504127604441,0.031627816621844475,0.0651348357721222,2.593391610713078e-06,2.6197621421589415e-06,0.025266082248110732,0.001645702117835625,5.3951804176609144e-06,1.7063777689154572e-07,0.0016512679360301775,0.011053293694417956,0.011053293694195953,3.241392583499436e-10,0.009402025758387776,True
8,68,667.7031176215553,0.031818576418164685,0.06548809655040498,2.601411383967559e-06,2.6278618574893143e-06,0.025265989578985088,0.0016546215649901018,5.4085911570242795e-06,1.720936710443868e-07,0.0016602022498181707,0.011074306906300728,0.011074306906406373,3.234839435130099e-10,0.009414104656482555,True
8,69,667.8558224826663,0.03199532468706536,0.0658660255426491,2.5923038701670794e-06,2.6186642577812526e-06,0.025266567587371825,0.0016642083860849027,5.390819083025918e-06,1.7248100689064227e-07,0.0016697716861748195,0.011073287611241898,0.011073287611155452,3.231040516982001e-10,0.009403515925067078,True
8,70,668.0085273437775,0.03166732837682272,0.06521587683674346,2.590083722853821e-06,2.6164205501211743e-06,0.025266066087985702,0.0016477486541430963,5.388271417133898e-06,1.7063216034982708e-07,0.0016533075577205801,0.011053277005578,0.01105327700552032,3.232824882775667e-10,0.009399969447857419,True
8,71,668.1612322048886,0.03177798744953251,0.06540382138932978,2.5998730069328166e-06,2.6263078615881485e-06,0.02526600274158338,0.0016524931305328362,5.405331931907186e-06,1.7177057029270392e-07,0.0016580702330350361,0.011074868518854804,0.011074868518792734,3.2289225085646457e-10,0.009416798285819766,True
8,72,668.3139370659997,0.03203693354692425,0.06595277989997421,2.595522769921485e-06,2.6219159357805787e-06,0.025266570372650957,0.0016664005546146582,5.39760287530306e-06,1.7292264462877145e-07,0.0016719710801345903,0.011072720958232384,0.011072720958034602,3.23675095140931e-10,0.00940074987809779,True
8,73,668.4666419271108,0.03170689052330274,0.06529697088873183,2.5892679741673945e-06,2.6155964375051748e-06,0.025266050218834848,0.0016497965456124958,5.386542849760839e-06,1.7079052443644612e-07,0.0016553538789866931,0.011053294386510187,0.01105329438694533,3.259114065052174e-10,0.009397940507523492,True
8,74,668.619346788222,0.031737318500766575,0.06531942025567399,2.5965560544448307e-06,2.6229572085660657e-06,0.0252660163493598,0.0016503615401105628,5.39837807075094e-06,1.713300442189764e-07,0.0016559312482255328,0.011075417284008184,0.011075417283831247,3.2338650021283505e-10,0.009419486035782649,True
8,75,668.7720516493331,0.0320786414169318,0.06603975330970091,2.5988335753074094e-06,2.6252604519940434e-06,0.025266572471932123,0.0016685982130280775,5.4045790272118965e-06,1.7337155262340057e-07,0.001674176163607913,0.011072139378259653,0.011072139378218587,3.229784174026807e-10,0.009397963214651738,True
8,76,668.9247565104441,0.03174653458491344,0.06537818336707737,2.59250282343947e-06,2.6188641098751127e-06,0.025266034716606045,0.0016518474506612131,5.393236780881223e-06,1.7121657798887303e-07,0.0016574119040200833,0.011053347738107675,0.011053347738046806,3.2329480690722313e-10,0.00939593583408759,True
8,77,669.0774613715553,0.03169856952591463,0.06523901094670209,2.593685078517128e-06,2.620057068685189e-06,0.02526603032613473,0.0016483308290264108,5.392354744752641e-06,1.7092993178493725e-07,0.0016538941137029485,0.01107595358487255,0.011075953584779977,3.2287044597191164e-10,0.009422059471169598,True
8,78,669.2301662326664,0.03203898439657616,0.06595923221881066,2.5955845975831916e-06,2.6219784765712906e-06,0.025266573428217667,0.0016665637841254402,5.397914149468819e-06,1.7294368720888917e-07,0.0016721346419621183,0.011071539603926437,0.01107153960378165,3.2336624268225684e-10,0.009399404961964317,True
8,79,669.3828710937775,0.031787813902106776,0.06546271373540793,2.5959557097462555e-06,2.622352035782778e-06,0.0252660193908386,0.0016539821946157333,5.4003801947681224e-06,1.7166628063191226e-07,0.0016595542410911335,0.011053426155005049,0.011053426155127275,3.2339680413229077e-10,0.009393871913913913,True
8,80,669.5355759548886,0.0316579587392736,0.06515481161113293,2.5945013174516984e-06,2.620881638412382e-06,0.02526604493530992,0.0016462043979185374,5.394000630684831e-06,1.707630494058362e-07,0.0016517691615986283,0.011076468747607997,0.011076468747632436,3.2275508945921116e-10,0.009424699586009368,True
16,67,667.5504127604441,0.01583688962027149,0.032614745965270274,1.2965460877694424e-06,1.3097298311105164e-06,0.025266082248110732,0.0008240468540597564,2.697278742798584e-06,4.271650572480584e-08,0.0008267868493082799,0.011053293694417956,0.011053293694195953,3.241392583499436e-10,0.010226506845109675,True
16,68,667.7031176215553,0.015740932705385374,0.03239754372591018,1.3005552581180916e-06,1.3137789653065972e-06,0.025265989578985088,0.0008185560021635605,2.7039828116500083e-06,4.256321147470152e-08,0.0008213025481866853,0.011074306906300728,0.011074306906406373,3.234839435130099e-10,0.010253004358114041,True
16,69,667.8558224826663,0.015827672959505705,0.032583070233787925,1.2974318414509708e-06,1.31062505025539e-06,0.025266567587371825,0.0008232623462660859,2.6980711676245574e-06,4.2704188062633206e-08,0.000826003121621773,0.011073287611241898,0.011073287611155452,3.231040516982001e-10,0.010247284489620123,True
16,70,668.0085273437775,0.015816489516616076,0.03257256880123243,1.2979630718738772e-06,1.311161189340783e-06,0.025266066087985702,0.0008229806759873999,2.700212838281304e-06,4.27078880493084e-08,0.0008257235967137306,0.011053277005578,0.01105327700552032,3.232824882775667e-10,0.010227553408864267,True
16,71,668.1612322048886,0.01575097355790389,0.03241784467708188,1.29978638231452e-06,1.3130022832480812e-06,0.02526600274158338,0.0008190693524873751,2.7023538527642978e-06,4.2564704078990166e-08,0.0008218142710442185,0.011074868518854804,0.011074868518792734,3.2289225085646457e-10,0.010253054247810584,True
16,72,668.3139370659997,0.015848092388576474,0.0326256490062417,1.297610953427798e-06,1.3108060066599577e-06,0.025266570372650957,0.0008243382565696158,2.6984886029177463e-06,4.276589668856111e-08,0.0008270795110692222,0.011072720958232384,0.011072720958034602,3.23675095140931e-10,0.010245641447163159,True
16,73,668.4666419271108,0.01579604849982422,0.032530282914118414,1.298407688296884e-06,1.3116102921060974e-06,0.025266050218834848,0.0008219117617410212,2.7011219847644582e-06,4.266705387528085e-08,0.000824655550779661,0.011053294386510187,0.01105329438694533,3.259114065052174e-10,0.010228638835730525,True
16,74,668.619346788222,0.01577101927811596,0.03245875470111662,1.2987504041411975e-06,1.3119557842161056e-06,0.0252660163493598,0.000820103426958272,2.700171132101291e-06,4.258445097858167e-08,0.0008228461825413521,0.011075417284008184,0.011075417283831247,3.2338650021283505e-10,0.01025257110146683,True
16,75,668.7720516493331,0.015868559626312038,0.032668333720292556,1.2992662246742212e-06,1.3124781319809492e-06,0.025266572471932123,0.0008254168214810359,2.701976400242737e-06,4.2876473616139834e-08,0.0008281616743548948,0.011072139378259653,0.011072139378218587,3.229784174026807e-10,0.010243977703904757,True
16,76,668.9247565104441,0.015775581238795862,0.03248791896304652,1.2967260118004741e-06,1.3099114808833083e-06,0.025266034716606045,0.0008208408883906173,2.697605710719884e-06,4.255629803970119e-08,0.000823581050399377,0.011053347738107675,0.011053347738046806,3.2329480690722313e-10,0.010229766687708296,True
16,77,669.0774613715553,0.015791473156243168,0.03250052306816121,1.300452995097338e-06,1.3136757004615298e-06,0.02526603032613473,0.0008211592014554025,2.7036836262520086e-06,4.269514740693279e-08,0.0008239055802290615,0.01107595358487255,0.011075953584779977,3.2287044597191164e-10,0.010252048004643487,True
16,78,669.2301662326664,0.015849100288293533,0.03262882722607425,1.2976421850570814e-06,1.3108375980804673e-06,0.025266573428217667,0.0008244186589842329,2.6986448903223433e-06,4.277109350920973e-08,0.0008271600749680646,0.011071539603926437,0.01107153960378165,3.2336624268225684e-10,0.01024437952895837,True
16,79,669.3828710937775,0.015755682785951897,0.032446702849682464,1.2978275141777073e-06,1.3110241484942278e-06,0.0252660193908386,0.0008197990233688552,2.6998773428517064e-06,4.2538410974950194e-08,0.000822541439122682,0.011053426155005049,0.011053426155127275,3.2339680413229077e-10,0.010230884715882365,True
16,80,669.5355759548886,0.0158114665539821,0.032541362919347554,1.3000955442424346e-06,1.3133146308954166e-06,0.02526604493530992,0.0008221915377764634,2.7029148678490834e-06,4.2737048031256736e-08,0.0008249371896923438,0.011076468747607997,0.011076468747632436,3.2275508945921116e-10,0.01025153155791565,True
32,67,667.5504127604441,0.00787647573814954,0.01622094119874014,6.494025939706235e-07,6.560059513095559e-07,0.025266082248110732,0.00040983963446913636,1.3509892388389232e-06,1.0641033962215895e-08,0.00041120126474193756,0.011053293694417956,0.011053293694195953,3.241392583499436e-10,0.010642092429676016,True
32,68,667.7031176215553,0.007885791245491389,0.016230313125079346,6.502401890635542e-07,6.568516619776825e-07,0.025265989578985088,0.0004100749222819197,1.351913564377172e-06,1.0660908150626563e-08,0.00041143749675444754,0.011074306906300728,0.011074306906406373,3.234839435130099e-10,0.010662869409546279,True
32,69,667.8558224826663,0.007871913884720505,0.01620523267295186,6.492404761970162e-07,6.558424146519631e-07,0.025266567587371825,0.00040945060660022443,1.3501264218419467e-06,1.0628078926225637e-08,0.00041081136110099266,0.011073287611241898,0.011073287611155452,3.231040516982001e-10,0.010662476250140903,True
32,70,668.0085273437775,0.007866369815894317,0.016200046905160245,6.48944127641215e-07,6.555428059947542e-07,0.025266066087985702,0.00040931145573424704,1.3500285969263226e-06,1.0619824205455382e-08,0.0004106721041553789,0.011053277005578,0.01105327700552032,3.232824882775667e-10,0.010642604901422619,True
32,71,668.1612322048886,0.007880918616366906,0.01622010186728448,6.4985582696576e-07,6.564633975228415e-07,0.02526600274158338,0.00040981713824757147,1.3510992434119091e-06,1.0647903179964158e-08,0.00041117888539416337,0.011074868518854804,0.011074868518792734,3.2289225085646457e-10,0.010663689633460639,True
32,72,668.3139370659997,0.00788202900174399,0.0162263258796547,6.491287107763182e-07,6.557295242717581e-07,0.025266570372650957,0.000409983604727863,1.3499164932519597e-06,1.0640080949744495e-08,0.0004113441613020647,0.011072720958232384,0.011072720958034602,3.23675095140931e-10,0.010661376796930317,True
32,73,668.4666419271108,0.007863672648425255,0.01619439798504892,6.491664706537834e-07,6.55767392533343e-07,0.025266050218834848,0.00040916847275404393,1.350483243021239e-06,1.0619758140302757e-08,0.00041052957575520553,0.011053294386510187,0.01105329438694533,3.259114065052174e-10,0.01064276481075498,True
32,74,668.619346788222,0.007871081920532506,0.016199683278903417,6.503227804688199e-07,6.569351052543052e-07,0.0252660163493598,0.00040930146257922437,1.3520556319140487e-06,1.0642140639912827e-08,0.0004106641603517784,0.011075417284008184,0.011075417283831247,3.2338650021283505e-10,0.010664753123656404,True
32,75,668.7720516493331,0.007892167162135833,0.016247470261981662,6.495956477875829e-07,6.562012204734852e-07,0.025266572471932123,0.0004105178848599217,1.3509102881994334e-06,1.0661609815519024e-08,0.00041187945675793674,0.011072139378259653,0.011072139378218587,3.229784174026807e-10,0.010660259921501714,True
32,76,668.9247565104441,0.007873367800643046,0.01621425741477626,6.4931501797868e-07,6.559174328424724e-07,0.025266034716606045,0.00040966999074572405,1.3507833456070034e-06,1.063521409894707e-08,0.00041103140930543006,0.011053347738107675,0.011053347738046806,3.2329480690722313e-10,0.010642316328802243,True
32,77,669.0774613715553,0.007861372278040752,0.016179536167520565,6.501890576927585e-07,6.568000296950563e-07,0.02526603032613473,0.00040879265147136833,1.3517639744607267e-06,1.0626719835279746e-08,0.00041015504216566434,0.01107595358487255,0.011075953584779977,3.2287044597191164e-10,0.010665798542706884,True
32,78,669.2301662326664,0.00788252829361019,0.016227902475121576,6.491309252888573e-07,6.557317824157873e-07,0.025266573428217667,0.0004100234894736146,1.349966789653907e-06,1.064115141488104e-08,0.00041138409741468346,0.011071539603926437,0.01107153960378165,3.2336624268225684e-10,0.010660155506511752,True
32,79,669.3828710937775,0.00788311943022554,0.016234220830413405,6.488763423989736e-07,6.554742791153223e-07,0.0252660193908386,0.00041017413829638104,1.3498608374514666e-06,1.0641114195814177e-08,0.00041153464024802833,0.011053426155005049,0.011053426155127275,3.2339680413229077e-10,0.010641891514757019,True
32,80,669.5355759548886,0.007863884685311389,0.016184553445876822,6.500103999158389e-07,6.566195632499336e-07,0.02526604493530992,0.0004089196546214489,1.3513797366429773e-06,1.062709441502685e-08,0.00041028166145250694,0.011076468747607997,0.011076468747632436,3.2275508945921116e-10,0.010666187086155488,True
