q,cell_index,center_start,cell_left,cell_right,cell_half_width,line_center_validation_radius,second_center_validation_radius,oriented_center_validation_radius,two_line_center_validation_radius,line_total_cell_radius,second_total_cell_radius,oriented_total_cell_radius,two_line_total_cell_radius,line_start_derivative_bound,second_start_derivative_bound,oriented_start_derivative_bound,two_line_start_derivative_bound,active_det_center,active_sigma_center,active_sigma_lower,active_orientation_pass,without_z_det_center,without_z_sigma_center,without_z_sigma_lower,without_z_orientation_pass,planar_separation_lower,active_norm_upper,mediation_margin_lower,mediation_pass,endpoint_separation_lower,endpoint_separation_pass,composition_enclosure_upper,all_structural_pass
550.0,0,657.3191870659997,657.3191870659997,657.3955394965553,0.07635243055563024,2557.4344474374675,2361.6845756496914,831464694.1966217,899263616.1782463,13375231.83387608,12351470.512001825,4348612764084.1514,4703222295316.958,1499896984.801073,1385092461.0978441,487654406297292.1,527420619587022.2,-0.2865799115272732,0.32143529184316344,-4348612764083.83,False,0.0536425822566788,0.06084134176210689,-165203815413826.9,False,-169552400484085.47,4348612764085.099,-173683582609966.3,False,-9051835059401.098,False,169552454194838.22,False
550.0,1,657.4718919271108,657.3955394965553,657.5482443576664,0.07635243055551655,2554.427271442838,2362.6006200516267,830608063.2815732,898339420.4913456,13359818.205058087,12356601.69036846,4344486102103.868,4698723568408.973,1498172602.68562,1385672320.4040403,487196272475809.5,526920517428711.8,-0.28658018669244845,0.32144773157487244,-4344486102103.547,False,0.053657108519693616,0.06085931280759837,-165081986018764.53,False,-169426444447769.53,4344486102104.816,-173553706244769.1,False,-9043209670512.828,False,169426498138113.75,False
550.0,2,657.6245967882219,657.5482443576664,657.7009492187774,0.07635243055551655,2556.615106838003,2362.236227628433,831361454.2854165,899150820.304999,13378880.25054203,12361720.476056559,4350310465258.263,4705026249528.362,1500410050.194651,1386338373.212626,487874101318309.44,527654276585675.6,-0.2862644556090253,0.32143702551570835,-4350310465257.942,False,0.05363135397924848,0.060894417517010274,-165386011777369.0,False,-169736294540993.47,4350310465259.21,-173869089482989.72,False,-9055336714786.613,False,169736348281334.8,False
550.0,3,657.777301649333,657.7009492187774,657.8536540798887,0.07635243055563024,2557.3956067804984,2361.6931407417137,831451453.3580842,899248686.4000227,13377978.00238211,12354226.784291614,4349309270561.468,4703989031600.67,1500243561.486306,1385437055.6474676,487742542812772.4,527517667340781.06,-0.2865888061982945,0.3214355698263973,-4349309270561.1465,False,0.05364327951698454,0.06084031929218849,-165274607990381.5,False,-169623889561257.38,4349309270562.4155,-173755733368291.66,False,-9053298302162.125,False,169623943283505.97,False
550.0,4,657.9300065104442,657.8536540798887,658.0063589409997,0.07635243055551655,2554.379118891773,2362.6087813669446,830598240.8390968,898327511.0595617,13359138.183007237,12356243.262416255,4344295797650.6445,4698510837208.44,1498090736.8316543,1385626872.6729848,487173111952278.94,526894691197680.25,-0.2865716502960929,0.32144779277490426,-4344295797650.323,False,0.05365682202253995,0.060860769563720094,-165068794967031.03,False,-169413063092899.94,4344295797651.5923,-173540144100668.94,False,-9042806634859.072,False,169413116781092.2,False
550.0,5,658.0827113715552,658.0063589409997,658.1590638021107,0.07635243055551655,2556.6792271917816,2362.2215906314914,831374304.3593291,899169882.6164926,13379122.59398999,12361566.708946254,4350333261085.482,4705071875566.762,1500436007.5507343,1386320117.6511855,487876075694796.75,527658684563538.1,-0.28626432015726594,0.3214366843035548,-4350333261085.1606,False,0.05363094983799899,0.06089394426773845,-165386950290714.03,False,-169737255849789.38,4350333261086.4287,-173870072447821.47,False,-9055405136652.23,False,169737309590291.97,False
550.0,6,658.2354162326664,658.1590638021107,658.311768663222,0.07635243055563024,2557.4432073615053,2361.802877940089,831462926.7138093,899264326.3203305,13378721.63787694,12355256.057761906,4349545167836.803,4704261267452.921,1500333433.200898,1385558443.4977217,487771300509372.6,527550690635492.2,-0.28659749817549707,0.3214358594536386,-4349545167836.482,False,0.053643981974365616,0.060839346377490965,-165297565397440.56,False,-169647082863748.78,4349545167837.751,-173779150773194.66,False,-9053806435289.71,False,169647136589709.22,False
550.0,7,658.3881210937775,658.311768663222,658.464473524333,0.07635243055551655,2554.3657872692074,2362.6404986540397,830597421.8265805,898327785.2248595,13358669.614395602,12356041.612354137,4344151344322.1714,4698360966514.653,1498032967.8357997,1385599446.0116272,487155077035841.9,526875902951112.0,-0.28656285015233407,0.32144783668959587,-4344151344321.85,False,0.05365650450140138,0.06086224390432084,-165060311441645.75,False,-169404435115100.38,4344151344323.119,-173531378892207.34,False,-9042512310836.812,False,169404488801907.97,False
550.0,8,658.5408259548885,658.464473524333,658.617178385444,0.07635243055551655,2556.7287895704867,2362.140082319887,831392903.0559345,899183690.8128718,13379247.923864484,12361012.018506777,4350372367896.763,4705080245562.408,1500448307.3508985,1386256231.7773786,487879698958678.94,527658786539230.1,-0.2862646606672575,0.32143634888113587,-4350372367896.442,False,0.05363057236464059,0.06089340294138765,-165381078223104.94,False,-169731422889198.7,4350372367897.71,-173864276638701.5,False,-9055452613459.158,False,169731476628778.56,False
550.0,9,658.6935308159997,658.617178385444,658.7698832465553,0.07635243055563024,2557.374860446392,2361.794899287882,831442582.4224421,899239484.8569165,13378858.382758856,12355673.789577972,4349614331898.9844,4704320780569.09,1500355242.0784829,1385611307.1470213,487781356542905.7,527559846122140.3,-0.28660596500781205,0.3214361603833933,-4349614331898.663,False,0.05364468796980538,0.06083842569550244,-165304843690921.4,False,-169654430320780.5,4349614331899.932,-173786563936085.44,False,-9053935112468.062,False,169654484047909.7,False
