Q,component,singular_value,explained_variance_ratio,cumulative_explained_variance,B_0_0,B_0_1,B_0_2,B_0_3,B_0_4,B_0_5,B_0_6,B_0_7,B_0_8,B_1_0,B_1_1,B_1_2,B_1_3,B_1_4,B_1_5,B_1_6,B_1_7,B_1_8,B_2_0,B_2_1,B_2_2,B_2_3,B_2_4,B_2_5,B_2_6,B_2_7,B_2_8,B_3_0,B_3_1,B_3_2,B_3_3,B_3_4,B_3_5,B_3_6,B_3_7,B_3_8,B_4_0,B_4_1,B_4_2,B_4_3,B_4_4,B_4_5,B_4_6,B_4_7,B_4_8,B_5_0,B_5_1,B_5_2,B_5_3,B_5_4,B_5_5,B_5_6,B_5_7,B_5_8,B_6_0,B_6_1,B_6_2,B_6_3,B_6_4,B_6_5,B_6_6,B_6_7,B_6_8,B_7_0,B_7_1,B_7_2,B_7_3,B_7_4,B_7_5,B_7_6,B_7_7,B_7_8,B_8_0,B_8_1,B_8_2,B_8_3,B_8_4,B_8_5,B_8_6,B_8_7,B_8_8
522.25,1,0.08955794465140758,0.6644989994523173,0.6644989994523173,2.321734528498055e-18,-0.0015347388505414505,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.013323394388016474,-0.005568616241222112,-0.0031466423280406904,4.618197281706855e-05,0.0,0.0,1.8372563484974856e-05,0.0,6.399135052370673e-06,-6.399135052370741e-06,0.0031466423280406904,-0.006029037896381759,6.399135052370741e-06,0.0,0.0,3.1995841831560397e-06,0.0,-4.618197281711025e-05,0.0,0.0,0.0,0.0,-0.001534738850541425,0.0,0.0,0.0,0.0,-0.00940755340892289,0.0,0.0,0.0905139679870547,7.900951684595037e-05,0.7040248020066737,-0.005664986204347783,0.0,0.001303607104073132,0.001303607104073132,0.0,0.0,-0.001303607104073132,-0.7040248020066737,-0.00038141213831502537,0.0006518069454964145,0.0,0.00940755340892289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001534738850541425,0.0,4.3389913968599046e-05,0.0,0.0,4.3389913968599046e-05,0.0,0.0,0.003683374354686758,0.000460421570327708,-0.00046965644455023754,0.0,0.0,-0.001534738850541425,0.0,0.0,-0.001534738850541425,0.0003836846895484065,0.0,0.0
522.25,2,0.06363614418192085,0.3355009928254107,0.999999992277728,-2.3436136006958053e-18,0.0073562597828936704,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.024981498969834315,0.006108977266539862,-0.000220135146835739,-2.1955492934661296e-05,0.0,0.0,1.163844534211669e-05,0.0,-0.0027171607896526767,0.002717160789652677,0.000220135146835739,0.008315855201409048,-0.002717160789652677,0.0,0.0,-0.001358580412852237,0.0,2.1955492934697156e-05,0.0,0.0,0.0,0.0,0.007356259782893668,0.0,0.0,0.0,0.0,0.00447212740261484,0.0,0.0,-0.014543290193624318,0.029698821912271463,0.0026055904552367577,0.006843301462612004,0.0,-0.5535240454162886,-0.5535240454162886,0.0,0.0,0.5535240454162886,-0.0026055904552367577,0.031905699847143004,-0.27676202638060765,0.0,-0.00447212740261484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007356259782893668,0.0,-0.018423803606836864,0.0,0.0,-0.018423803606836864,0.0,0.0,-0.017655024268994554,-0.0022068774018530503,-0.0004745140604717478,0.0,0.0,0.007356259782893668,0.0,0.0,0.007356259782893668,-0.001839064927909198,0.0,0.0
522.25,3,8.190682507844884e-06,5.558099013082535e-09,0.9999999978358269,-1.740176093178196e-14,0.0003090423731515104,4.909809538100607e-15,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0008657138416777137,0.0004857148034063912,0.00044373693384971866,0.0002556239123463123,0.0,0.0,0.00012872127822068538,0.0,-3.7848912982197466e-05,3.784891298225549e-05,-0.00044373693384971866,0.0005784274935388747,-3.784891298225549e-05,0.0,0.0,-2.4264672127480063e-05,0.0,-0.0002556239138208744,0.0,0.0,0.0,0.0,0.00030904237314902615,0.0,0.0,0.0,0.0,-0.19350138354046237,0.0,0.0,0.9519873963416433,0.0228215402532048,-0.06412245903676256,-0.09657879141690835,0.0,-0.008242859878239675,-0.008242859878220772,0.0,0.0,0.008242859878220772,0.06412245903676256,0.022914252964587524,-0.0052093072854008495,0.0,0.19350138354046237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030904237314902615,0.0,-0.0004305402418343488,0.0,0.0,-0.0004305402418343488,0.0,0.0,-0.0010159534322539106,2.1916639199079376e-05,-0.0017248778831160949,0.0,0.0,0.00030904237314902615,0.0,0.0,0.00030904237314902615,-7.12799448302891e-05,0.0,0.0
522.25,4,5.110965295096147e-06,2.164172924308448e-09,0.9999999999999999,4.117757301582764e-14,-0.000354187117120496,-8.62358144962383e-15,1.1102230246251565e-16,-2.220446049250313e-16,0.0,0.0,-0.0,-0.0,0.001505796814964885,-0.0007918844604505679,-5.332211501614956e-05,-0.00019383806258465078,-0.0,-0.0,-9.83807805262765e-05,-0.0,0.00017800324861552382,-0.00017800324861563923,5.332211501614956e-05,-0.0008981406748995651,0.00017800324861563923,-0.0,-0.0,8.388934212699081e-05,0.0,0.00019383806304482747,0.0,0.0,0.0,0.0,-0.0003541871171158728,0.0,0.0,0.0,0.0,-0.019723306388778967,0.0,0.0,-0.04189769942159744,0.705539813875757,0.0024723019160781375,-0.010059096561313234,0.0,0.024464237137828096,0.02446423713783558,0.0,0.0,-0.02446423713783558,-0.0024723019160781375,0.7054335577956604,0.01119067436857239,0.0,0.019723306388778967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003541871171158728,0.0,0.0012313263339846637,0.0,0.0,0.0012313263339846637,0.0,0.0,0.00032282600355974437,-6.507209721833724e-05,0.0013499263621627273,0.0,0.0,-0.0003541871171158728,0.0,0.0,-0.0003541871171158728,9.883815595060501e-05,0.0,0.0
522.25,5,8.046754819062851e-10,5.364480030079073e-17,0.9999999999999999,4.652488022074547e-11,0.0792682896086731,2.171624260668765e-12,-1.0905244264038105e-13,3.936225802768367e-14,0.0,0.0,0.0,0.0,-0.050691723349433095,-0.025071442895493793,0.07482037976968763,-0.00426762810004278,0.0,0.0,-0.0018914758995126676,0.0,8.852852533562003e-05,-8.852852423012139e-05,-0.0748203797696876,-0.0012913543494105489,8.852852423012139e-05,0.0,0.0,-1.5052740697306777e-05,0.0,0.004267625971973766,0.0,0.0,0.0,0.0,0.07926828957734343,0.0,0.0,0.0,0.0,-0.6200976590542091,0.0,0.0,-0.27624014704392724,-0.039241418339124076,0.009125866000699326,-0.26052738681101467,0.0,0.003296578640499946,0.0032965786577782595,0.0,0.0,-0.0032965786577782595,-0.009125866000699326,-0.015460464300935645,-0.0104347678693465,0.0,0.6200976590542091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926828957734343,0.0,-0.0011301985932503458,0.0,0.0,-0.0011301985932503458,0.0,0.0,-0.19299286362372708,-0.02331582271657629,0.025540121410696448,0.0,0.0,0.07926828957734343,0.0,0.0,0.07926828957734347,-0.019736994843390795,0.0,0.0
522.25,6,6.770141010330442e-10,3.7973578381067646e-17,0.9999999999999999,4.2643030827456146e-11,-0.25860868813409155,-3.4499955346503623e-12,3.2615118322287893e-13,-1.1406618989737334e-13,0.0,1.3877787807814457e-17,1.1102230246251565e-16,-8.673617379884035e-19,0.16359729296107087,0.0840334515043504,-0.24998236872032895,-0.0017632895296476436,0.0,0.0,-0.0016781927635835144,0.0,0.00014970341789079177,-0.00014970341831117937,0.24998236872032892,0.006450742021368895,0.00014970341831117937,0.0,0.0,4.7999832454566237e-05,0.0,0.0017632760530032945,0.0,0.0,0.0,0.0,-0.25860868814534543,0.0,0.0,0.0,0.0,-0.1512079064953893,0.0,0.0,-0.08439538101303422,0.030549602177436738,0.0002065041832219915,-0.2374433364554947,0.0,-0.013897400675631656,-0.013897400737634617,0.0,0.0,0.013897400737634617,-0.000206504183221991,-0.047032290242950935,-0.0124195314393994,0.0,0.15120790649538926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25860868814534543,0.0,0.0006431152386301985,0.0,0.0,0.0006431152386301985,0.0,0.0,0.6188538671404151,0.07716893613066159,0.022765191469917335,0.0,0.0,-0.25860868814534543,0.0,0.0,-0.25860868814534554,0.06469991014837453,0.0,0.0
522.25,7,6.302593595870177e-11,3.2909759082456255e-19,0.9999999999999999,1.3274540291085116e-09,-0.00916180508452899,-4.027206317667107e-10,-4.0328355558773136e-13,9.726394630026405e-14,-1.3877787807814457e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.8610944031296679,-0.19374478360975336,0.300374056327928,0.0018520448759798665,0.0,0.0,0.0008945295704413646,0.0,0.0015007885822058864,-0.0015007885845012795,-0.30037405632792813,-0.19648668399229946,0.0015007885845012795,0.0,0.0,0.0007529536073557238,0.0,-0.0018519634747083018,0.0,0.0,0.0,0.0,-0.009161804833627654,0.0,0.0,0.0,0.0,-1.365612342626213e-06,0.0,0.0,-0.0005576514475708125,0.0009142418253045581,0.007838143617533596,-0.0042377587361096414,0.0,-0.01430284078684837,-0.014302842399274528,0.0,0.0,0.014302842399274528,-0.007838143617533606,-0.0018026525500440317,-0.006695332548629971,0.0,1.365612342663664e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009161804833627654,0.0,0.011046915196357436,0.0,0.0,0.011046915196357436,0.0,0.0,0.020773445304030084,0.0014859168190659493,0.0012140567813916292,0.0,0.0,-0.009161804833627654,0.0,0.0,-0.009161804833627628,0.0023430797227639495,0.0,0.0
522.25,8,2.8905546627866446e-11,6.922268946995205e-20,0.9999999999999999,1.9216148500433037e-08,0.017191803231238086,-4.447747323971946e-09,-3.762112573102135e-13,-1.284187769415735e-13,-7.771561172376096e-16,-1.1102230246251565e-16,3.3306690738754696e-16,2.220446049250313e-16,0.24151224777302033,0.675241401322301,0.09729827543340994,0.000383945259266159,0.0,0.0,0.00024477629370218734,0.0,-0.0009930575406597519,0.000993057495239043,-0.09729827543341048,0.6804134451842948,-0.000993057495239043,0.0,0.0,-0.0005173977897076088,0.0,-0.00038371104974289135,0.0,0.0,0.0,0.0,0.01719180550251149,0.0,0.0,0.0,0.0,-0.0013398737653520854,0.0,0.0,0.00026890158455161994,-0.002179881397753112,0.008503375884767158,0.007427854786017616,0.0,0.0037128230278077458,0.0037128255715304205,0.0,0.0,-0.0037128255715304205,-0.008503375884767237,0.00302760555096995,-0.0025017259242419688,0.0,0.0013398737653513581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01719180550251149,0.0,-0.005792832906845644,0.0,0.0,-0.005792832906845644,0.0,0.0,-0.043884486831419794,-0.008216572094046023,0.0006181259468835656,0.0,0.0,0.01719180550251149,0.0,0.0,0.017191805502511426,-0.004160341862278835,0.0,0.0
522.25,9,4.057414884341779e-12,1.3639075437552796e-21,0.9999999999999999,6.95221686288719e-08,0.033061523500006185,-1.2564523861225604e-08,-2.3600070301463806e-12,6.769263585526428e-13,-2.1545265571631944e-15,-3.122502256758253e-16,-3.712308238590367e-16,-2.7755575615628914e-17,-0.057462875208659,-0.010517390381823422,0.10068679762170456,-0.00043372265548205675,0.0,0.0,0.00025563761236076465,0.0,-0.08609175577202878,0.08609175608412381,-0.10068679762170546,-0.000497695297070411,-0.08609175608412381,0.0,0.0,-0.041451321460101144,0.0,0.0004353815820951443,0.0,0.0,0.0,0.0,0.033061525550856306,0.0,0.0,0.0,0.0,0.010561968527432734,0.0,0.0,-0.0010253315865027433,-0.005375634684315918,-0.00037620893662614443,-0.05352625724385325,0.0,-0.03687901880238128,-0.03687898630243772,0.0,0.0,0.03687898630243772,0.00037620893662518355,0.0065642038028498745,0.30728694616774616,0.0,-0.0105619685274334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033061525550856306,0.0,-0.6376783583345239,0.0,0.0,-0.6376783583345239,0.0,0.0,0.14574142541132054,0.10294496164771255,-0.004069963075908624,0.0,0.0,0.033061525550856306,0.0,0.0,0.03306152555085593,-0.010150555513082322,0.0,0.0
522.25,10,2.4269059720430518e-12,4.879687341103684e-22,0.9999999999999999,1.353294641482135e-07,-0.13733296524680702,-2.8919756638772184e-08,-4.2506697125933534e-12,1.217435603283884e-12,-2.8928248685389235e-14,-3.608224830031759e-16,-5.377642775528102e-16,2.983724378680108e-16,-0.3821054307139369,0.02980976645367306,0.5298981090404304,0.008086683716492515,0.0,0.0,0.005237094058685482,0.0,0.021717757241809226,-0.021717757781598214,-0.5298981090404317,-0.009434809805112795,0.021717757781598214,0.0,0.0,0.011599619168738199,0.0,-0.008028586168126439,0.0,0.0,0.0,0.0,-0.137332953029823,0.0,0.0,0.0,0.0,-0.03957633105215522,0.0,0.0,-0.0019584431688869208,-0.00637087593980974,-0.0025089323607854195,0.13823377161835076,0.0,-0.026048102230599342,-0.02604819111508355,0.0,0.0,0.02604819111508355,0.0025089323607893083,0.006626517189343553,0.13924612172141212,0.0,0.039576331052141235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.137332953029823,0.0,0.12706807082902236,0.0,0.0,0.12706807082902236,0.0,0.0,0.28518081048331195,-0.15445773206999477,-0.07116483664316346,0.0,0.0,-0.137332953029823,0.0,0.0,-0.13733295302982368,0.0954771701942253,0.0,0.0
