Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,anchor_closure_relative,matrix_frobenius_norm,B_0_0,B_0_1,B_0_2,B_0_3,B_0_4,B_0_5,B_0_6,B_0_7,B_0_8,B_1_0,B_1_1,B_1_2,B_1_3,B_1_4,B_1_5,B_1_6,B_1_7,B_1_8,B_2_0,B_2_1,B_2_2,B_2_3,B_2_4,B_2_5,B_2_6,B_2_7,B_2_8,B_3_0,B_3_1,B_3_2,B_3_3,B_3_4,B_3_5,B_3_6,B_3_7,B_3_8,B_4_0,B_4_1,B_4_2,B_4_3,B_4_4,B_4_5,B_4_6,B_4_7,B_4_8,B_5_0,B_5_1,B_5_2,B_5_3,B_5_4,B_5_5,B_5_6,B_5_7,B_5_8,B_6_0,B_6_1,B_6_2,B_6_3,B_6_4,B_6_5,B_6_6,B_6_7,B_6_8,B_7_0,B_7_1,B_7_2,B_7_3,B_7_4,B_7_5,B_7_6,B_7_7,B_7_8,B_8_0,B_8_1,B_8_2,B_8_3,B_8_4,B_8_5,B_8_6,B_8_7,B_8_8
522.25,0,1165.777520408083,0,0.0,1165.777520408083,7.93802808449202e-05,62.93182819897997,0.0,12.566359191850497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878342973106926,-3.769930344234462,12.165651790896815,0.0772685918991433,0.0,0.0,0.03863426083195533,0.0,2.9564035315135806e-06,-2.9564035315135806e-06,-12.165651790896815,-2.2586679312955537e-05,2.9564035315135806e-06,0.0,0.0,1.4782004221080663e-06,0.0,-0.07726859189914329,0.0,0.0,0.0,0.0,12.566359191850497,0.0,0.0,0.0,0.0,15.740652055859233,0.0,0.0,-35.95269278980778,-3.7699430757092367,0.4022952379885415,7.870318873998556,0.0,0.0006022591868505978,0.0006022591868505978,0.0,0.0,-0.0006022591868505978,-0.4022952379885415,-3.531815408749411e-05,0.0003011293197059709,0.0,-15.740652055859233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359191850497,0.0,2.004598429198754e-05,0.0,0.0,2.004598429198754e-05,0.0,0.0,-30.1592620605299,-3.7699077575934594,-0.523922043443516,0.0,0.0,12.566359191850497,0.0,0.0,12.566359191850497,-3.1415897979600285,0.0,0.0
522.25,0,1165.777520408083,1,0.004166666666666667,1165.778452121046,7.93802808449202e-05,62.931827845187506,0.0,12.566359319870063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878343760000687,-3.7699303195006784,12.165651726411028,0.07726859230669259,0.0,0.0,0.03863426142931636,0.0,2.8984688087144903e-06,-2.8984688087144903e-06,-12.165651726411028,-2.2523539659799305e-05,2.8984688087144903e-06,0.0,0.0,1.4492331018031974e-06,0.0,-0.07726859230669257,0.0,0.0,0.0,0.0,12.566359319870063,0.0,0.0,0.0,0.0,15.740651973730241,0.0,0.0,-35.952691385662575,-3.7699424415757883,0.40230866910434,7.870318913112979,0.0,0.0005904570979318281,0.0005904570979318281,0.0,0.0,-0.0005904570979318281,-0.40230866910434,-3.464561476916459e-05,0.0002952282836181274,0.0,-15.740651973730241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359319870063,0.0,1.9653156748688478e-05,0.0,0.0,1.9653156748688478e-05,0.0,0.0,-30.15926236777408,-3.769907795999483,-0.5239220625001105,0.0,0.0,12.566359319870063,0.0,0.0,12.566359319870063,-3.141589829964978,0.0,0.0
522.25,0,1165.777520408083,2,0.008333333333333333,1165.779383834009,7.93802808449202e-05,62.931827501662966,0.0,12.566359448721832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878344546789964,-3.7699302933968384,12.165651662405125,0.07726859270517049,0.0,0.0,0.038634262024700244,0.0,2.8403152474538704e-06,-2.8403152474538704e-06,-12.165651662405125,-2.2458780289360537e-05,2.8403152474538704e-06,0.0,0.0,1.4201563618686333e-06,0.0,-0.07726859270517049,0.0,0.0,0.0,0.0,12.566359448721832,0.0,0.0,0.0,0.0,15.74065189343479,0.0,0.0,-35.9526899969501,-3.76994180510018,0.40232198911505007,7.870318953665378,0.0,0.0005786104290572225,0.0005786104290572225,0.0,0.0,-0.0005786104290572225,-0.40232198911505007,-3.397048363078598e-05,0.0002893049574710983,0.0,-15.74065189343479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359448721832,0.0,1.9258845340929944e-05,0.0,0.0,1.9258845340929944e-05,0.0,0.0,-30.159262677015555,-3.769907834655149,-0.5239220815204084,0.0,0.0,12.566359448721832,0.0,0.0,12.566359448721832,-3.1415898621779776,0.0,0.0
522.25,0,1165.777520408083,3,0.0125,1165.780315546972,7.93802808449202e-05,62.931827151612794,0.0,12.566359577034131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8783453335944795,-3.769930268168978,12.165651598097174,0.07726859310934035,0.0,0.0,0.038634262621271544,0.0,2.7823049070181826e-06,-2.7823049070181826e-06,-12.165651598097174,-2.2395058738837546e-05,2.7823049070181826e-06,0.0,0.0,1.391151231627629e-06,0.0,-0.07726859310934034,0.0,0.0,0.0,0.0,12.566359577034131,0.0,0.0,0.0,0.0,15.740651811959875,0.0,0.0,-35.95268859846491,-3.7699411701603642,0.4023353791551659,7.870318993290172,0.0,0.0005667929363500544,0.0005667929363500544,0.0,0.0,-0.0005667929363500544,-0.4023353791551659,-3.3297050124740306e-05,0.00028339621926133695,0.0,-15.740651811959875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359577034131,0.0,1.8865505021251963e-05,0.0,0.0,1.8865505021251963e-05,0.0,0.0,-30.15926298496234,-3.7699078731489637,-0.5239221005621469,0.0,0.0,12.566359577034131,0.0,0.0,12.566359577034131,-3.141589894256109,0.0,0.0
522.25,0,1165.777520408083,4,0.016666666666666666,1165.7812472599348,7.93802808449202e-05,62.93182680762873,0.0,12.566359705799622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8783461201446245,-3.7699302421492837,12.165651534084565,0.0772685935081105,0.0,0.0,0.03863426321653629,0.0,2.7241815629829723e-06,-2.7241815629829723e-06,-12.165651534084565,-2.2330409397320686e-05,2.7241815629829723e-06,0.0,0.0,1.362089599092705e-06,0.0,-0.0772685935081105,0.0,0.0,0.0,0.0,12.566359705799622,0.0,0.0,0.0,0.0,15.740651731568837,0.0,0.0,-35.952687209306255,-3.7699405340109795,0.40234870118506977,7.87031903374074,0.0,0.0005549524236127696,0.0005549524236127696,0.0,0.0,-0.0005549524236127696,-0.40234870118506977,-3.262227109322582e-05,0.0002774759709358502,0.0,-15.740651731568837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359705799622,0.0,1.847139845302605e-05,0.0,0.0,1.847139845302605e-05,0.0,0.0,-30.159263293996784,-3.7699079117787195,-0.5239221195779497,0.0,0.0,12.566359705799622,0.0,0.0,12.566359705799622,-3.1415899264475384,0.0,0.0
522.25,0,1165.777520408083,5,0.020833333333333332,1165.782178972898,7.93802808449202e-05,62.93182643829156,0.0,12.566359832727846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878346908049767,-3.769930219414757,12.16565146881884,0.07726859392927211,0.0,0.0,0.03863426381734822,0.0,2.6665072085063666e-06,-2.666507208506367e-06,-12.16565146881884,-2.2269596403095e-05,2.666507208506367e-06,0.0,0.0,1.3332524603539938e-06,0.0,-0.07726859392927211,0.0,0.0,0.0,0.0,12.566359832727846,0.0,0.0,0.0,0.0,15.74065164659223,0.0,0.0,-35.95268578077407,-3.7699399026571774,0.40236231124308386,7.870319070747838,0.0,0.0005432033760138748,0.0005432033760138748,0.0,0.0,-0.0005432033760138748,-0.40236231124308386,-3.195283882346769e-05,0.00027160145497929003,0.0,-15.74065164659223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359832727846,0.0,1.8080336246805264e-05,0.0,0.0,1.8080336246805264e-05,0.0,0.0,-30.159263598621834,-3.769907949857296,-0.5239221387073029,0.0,0.0,12.566359832727846,0.0,0.0,12.566359832727846,-3.141589958179649,0.0,0.0
522.25,0,1165.777520408083,6,0.025,1165.783110685861,7.93802808449202e-05,62.931826107387195,0.0,12.566359962444727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.87834769392165,-3.769930191699345,12.165651405451092,0.07726859431638963,0.0,0.0,0.03863426440971163,0.0,2.608150548617102e-06,-2.608150548617102e-06,-12.165651405451092,-2.220296592706987e-05,2.608150548617102e-06,0.0,0.0,1.3040741689050535e-06,0.0,-0.07726859431638963,0.0,0.0,0.0,0.0,12.566359962444727,0.0,0.0,0.0,0.0,15.740651568542715,0.0,0.0,-35.952684411871935,-3.7699392640166836,0.4023754850153981,7.870319112965015,0.0,0.0005313153343515305,0.0005313153343515305,0.0,0.0,-0.0005313153343515305,-0.4023754850153981,-3.127528326532915e-05,0.00026565744199021025,0.0,-15.740651568542715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566359962444727,0.0,1.7684647624745253e-05,0.0,0.0,1.7684647624745253e-05,0.0,0.0,-30.15926390993963,-3.7699079887724354,-0.5239221576642789,0.0,0.0,12.566359962444727,0.0,0.0,12.566359962444727,-3.1415899906089244,0.0,0.0
522.25,0,1165.777520408083,7,0.029166666666666667,1165.7840423988239,7.93802808449202e-05,62.93182591620481,0.0,12.566360102319168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878348472495118,-3.7699301458662644,12.16565134897806,0.07726859457985362,0.0,0.0,0.03863426497147697,0.0,2.5473058546020185e-06,-2.5473058546020185e-06,-12.16565134897806,-2.2115170514478162e-05,2.5473058546020185e-06,0.0,0.0,1.2736518618619786e-06,0.0,-0.07726859457985362,0.0,0.0,0.0,0.0,12.566360102319168,0.0,0.0,0.0,0.0,15.740651515698552,0.0,0.0,-35.952683259686445,-3.7699385987987584,0.4023870737356871,7.870319174146554,0.0,0.0005189204485886097,0.0005189204485886097,0.0,0.0,-0.0005189204485886097,-0.4023870737356871,-3.056810300768338e-05,0.00025946000725005053,0.0,-15.740651515698552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566360102319168,0.0,1.7272088790159344e-05,0.0,0.0,1.7272088790159344e-05,0.0,0.0,-30.159264245635445,-3.7699080307347557,-0.5239221759974201,0.0,0.0,12.566360102319168,0.0,0.0,12.566360102319168,-3.1415900255775937,0.0,0.0
522.25,0,1165.777520408083,8,0.03333333333333333,1165.7849741117868,7.93802808449202e-05,62.93182575305856,0.0,12.566360244236911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878349249630026,-3.7699300963954774,12.165651293886878,0.07726859481846991,0.0,0.0,0.038634265527100434,0.0,2.4859597445558794e-06,-2.4859597445558794e-06,-12.165651293886878,-2.2023124404103917e-05,2.4859597445558794e-06,0.0,0.0,1.2429788465351634e-06,0.0,-0.07726859481846991,0.0,0.0,0.0,0.0,12.566360244236911,0.0,0.0,0.0,0.0,15.740651467903266,0.0,0.0,-35.95268215094891,-3.7699379282246537,0.40239834473072805,7.87031923913225,0.0,0.0005064234181328524,0.0005064234181328524,0.0,0.0,-0.0005064234181328524,-0.40239834473072805,-2.9854953580594725e-05,0.00025321150010883383,0.0,-15.740651467903266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566360244236911,0.0,1.6856130063380506e-05,0.0,0.0,1.6856130063380506e-05,0.0,0.0,-30.15926458623519,-3.7699080733100376,-0.523922194205708,0.0,0.0,12.566360244236911,0.0,0.0,12.566360244236911,-3.141590061057088,0.0,0.0
522.25,0,1165.777520408083,9,0.0375,1165.7859058247498,7.93802808449202e-05,62.93182556627508,0.0,12.566360384428243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878350027960031,-3.769930049993523,12.165651237631652,0.07726859507794617,0.0,0.0,0.038634266087846175,0.0,2.4250380277957253e-06,-2.4250380277957253e-06,-12.165651237631652,-2.1934665050025467e-05,2.4250380277957253e-06,0.0,0.0,1.2125180268192352e-06,0.0,-0.07726859507794617,0.0,0.0,0.0,0.0,12.566360384428243,0.0,0.0,0.0,0.0,15.74065141583325,0.0,0.0,-35.952681005579095,-3.7699372621828044,0.4024098834030946,7.8703193008993235,0.0,0.0004940128421794889,0.0004940128421794889,0.0,0.0,-0.0004940128421794889,-0.4024098834030946,-2.9146854331585746e-05,0.0002470062200085602,0.0,-15.74065141583325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566360384428243,0.0,1.6443048921518358e-05,0.0,0.0,1.6443048921518358e-05,0.0,0.0,-30.15926492269159,-3.769908115367396,-0.5239222125182631,0.0,0.0,12.566360384428243,0.0,0.0,12.566360384428243,-3.141590096104979,0.0,0.0
