Q,rank,output_index,output_coordinate,input_index,input_coordinate,fundamental_amplitude,fraction_of_mode_frobenius_norm,fraction_of_maximum_entry,aligned_phase_degrees
522.25,1,4,v2,5,omega2,0.001915387047227683,0.5739154786107262,1.0,-33.97516070973563
522.25,2,5,omega2,4,v2,0.001915387047227683,0.5739154786107262,1.0,146.02483929026437
522.25,3,4,v2,8,Delta,0.0010699724384254138,0.3206003428852737,0.55861943933164,56.041667478634686
522.25,4,5,omega2,0,y1,0.0010699724384254138,0.3206003428852737,0.55861943933164,56.041667478634686
522.25,5,5,omega2,3,y2,0.0010699724384254138,0.3206003428852737,0.55861943933164,-123.95833252136532
522.25,6,5,omega2,6,z,0.0005349862192468251,0.16030017145285985,0.2793097196836327,56.041667478929035
522.25,7,4,v2,3,y2,0.0002478315747374385,0.07425881731640399,0.1293898145004938,-27.309538463327616
522.25,8,5,omega2,5,omega2,6.168241648804744e-05,0.01848216193789256,0.03220363037190113,-124.73048800325681
522.25,9,1,v1,0,y1,6.040869282609607e-05,0.01810051075876159,0.03153863492683171,93.10444378622863
522.25,10,4,v2,4,v2,5.740942988746254e-05,0.01720182898716002,0.02997275666584282,-123.55189945362602
522.25,11,7,vz,0,y1,3.5613558889247286e-05,0.010671040469098477,0.018593400712818897,56.04166753165998
522.25,12,7,vz,3,y2,3.5613558889247286e-05,0.010671040469098477,0.018593400712818897,56.04166753165998
522.25,13,7,vz,6,z,3.555885076901479e-05,0.010654648044887102,0.01856483827667228,39.86303670201244
522.25,14,4,v2,0,y1,2.700834737008377e-05,0.008092624741209196,0.014100725704068768,164.8461472921276
522.25,15,5,omega2,8,Delta,2.700834737008377e-05,0.008092624741209196,0.014100725704068768,-15.15385270787241
522.25,16,2,omega1,2,omega1,2.2954863778316737e-05,0.006878062400413975,0.01198445181695336,-169.37562112780074
522.25,17,4,v2,6,z,2.0301724311031608e-05,0.006083091060604684,0.01059928035976654,-173.16100252671896
522.25,18,1,v1,1,v1,1.9199462977010493e-05,0.00575281586009915,0.010023803285502871,-175.86854051474612
522.25,19,0,y1,1,v1,1.4816187813855666e-05,0.004439436683401879,0.007735349278518149,-140.13696329745162
522.25,20,3,y2,4,v2,1.4816187813855666e-05,0.004439436683401879,0.007735349278518149,-140.13696329745162
522.25,21,6,z,7,vz,1.4816187813855666e-05,0.004439436683401879,0.007735349278518149,-140.13696329745162
522.25,22,8,Delta,2,omega1,1.4816187813855666e-05,0.004439436683401879,0.007735349278518149,-140.13696329745162
522.25,23,8,Delta,5,omega2,1.4816187813855664e-05,0.004439436683401879,0.0077353492785181485,-140.13696329745162
522.25,24,1,v1,2,omega1,8.57176496847594e-06,0.0025683939972038173,0.004475212976344728,143.33001945931852
522.25,25,2,omega1,1,v1,8.57176496847594e-06,0.0025683939972038173,0.004475212976344728,-36.66998054068148
522.25,26,1,v1,8,Delta,5.2523231064552635e-06,0.001573775667859117,0.0027421732406812697,56.041667524674175
522.25,27,2,omega1,0,y1,5.2523231064552635e-06,0.001573775667859117,0.0027421732406812697,-123.95833247532582
522.25,28,2,omega1,3,y2,5.2523231064552635e-06,0.001573775667859117,0.0027421732406812697,56.041667524674175
522.25,29,7,vz,7,vz,4.444856348803788e-06,0.0013318310064129903,0.002320604785981632,39.863036639430675
522.25,30,8,Delta,6,z,3.704046953148485e-06,0.0011098591707559557,0.0019338373194648542,39.8630367024167
522.25,31,2,omega1,6,z,2.6261615533919447e-06,0.0007868878339787923,0.0013710866204264206,56.04166752502641
522.25,32,7,vz,8,Delta,1.5736160325376946e-06,0.0004715091917169201,0.0008215655602429466,110.52221860115279
522.25,33,1,v1,3,y2,1.3257964046983192e-07,3.9725395409984096e-05,6.921819830708718e-05,-15.153846218647436
522.25,34,2,omega1,8,Delta,1.3257964046962493e-07,3.972539540992207e-05,6.921819830697911e-05,164.84615378127432
522.25,35,1,v1,6,z,5.483418284995065e-08,1.6430196883761542e-05,2.8628251887427783e-05,-58.045578490218446
522.25,36,0,y1,0,y1,0.0,0.0,0.0,0.0
522.25,37,0,y1,2,omega1,0.0,0.0,0.0,0.0
522.25,38,0,y1,3,y2,0.0,0.0,0.0,0.0
522.25,39,0,y1,4,v2,0.0,0.0,0.0,0.0
522.25,40,0,y1,5,omega2,0.0,0.0,0.0,0.0
522.25,41,0,y1,6,z,0.0,0.0,0.0,0.0
522.25,42,0,y1,7,vz,0.0,0.0,0.0,0.0
522.25,43,0,y1,8,Delta,0.0,0.0,0.0,0.0
522.25,44,1,v1,4,v2,0.0,0.0,0.0,0.0
522.25,45,1,v1,5,omega2,0.0,0.0,0.0,0.0
522.25,46,1,v1,7,vz,0.0,0.0,0.0,0.0
522.25,47,2,omega1,4,v2,0.0,0.0,0.0,0.0
522.25,48,2,omega1,5,omega2,0.0,0.0,0.0,0.0
522.25,49,2,omega1,7,vz,0.0,0.0,0.0,0.0
522.25,50,3,y2,0,y1,0.0,0.0,0.0,0.0
522.25,51,3,y2,1,v1,0.0,0.0,0.0,0.0
522.25,52,3,y2,2,omega1,0.0,0.0,0.0,0.0
522.25,53,3,y2,3,y2,0.0,0.0,0.0,0.0
522.25,54,3,y2,5,omega2,0.0,0.0,0.0,0.0
522.25,55,3,y2,6,z,0.0,0.0,0.0,0.0
522.25,56,3,y2,7,vz,0.0,0.0,0.0,0.0
522.25,57,3,y2,8,Delta,0.0,0.0,0.0,0.0
522.25,58,4,v2,1,v1,0.0,0.0,0.0,0.0
522.25,59,4,v2,2,omega1,0.0,0.0,0.0,0.0
522.25,60,4,v2,7,vz,0.0,0.0,0.0,0.0
522.25,61,5,omega2,1,v1,0.0,0.0,0.0,0.0
522.25,62,5,omega2,2,omega1,0.0,0.0,0.0,0.0
522.25,63,5,omega2,7,vz,0.0,0.0,0.0,0.0
522.25,64,6,z,0,y1,0.0,0.0,0.0,0.0
522.25,65,6,z,1,v1,0.0,0.0,0.0,0.0
522.25,66,6,z,2,omega1,0.0,0.0,0.0,0.0
522.25,67,6,z,3,y2,0.0,0.0,0.0,0.0
522.25,68,6,z,4,v2,0.0,0.0,0.0,0.0
522.25,69,6,z,5,omega2,0.0,0.0,0.0,0.0
522.25,70,6,z,6,z,0.0,0.0,0.0,0.0
522.25,71,6,z,8,Delta,0.0,0.0,0.0,0.0
522.25,72,7,vz,1,v1,0.0,0.0,0.0,0.0
522.25,73,7,vz,2,omega1,0.0,0.0,0.0,0.0
522.25,74,7,vz,4,v2,0.0,0.0,0.0,0.0
522.25,75,7,vz,5,omega2,0.0,0.0,0.0,0.0
522.25,76,8,Delta,0,y1,0.0,0.0,0.0,0.0
522.25,77,8,Delta,1,v1,0.0,0.0,0.0,0.0
522.25,78,8,Delta,3,y2,0.0,0.0,0.0,0.0
522.25,79,8,Delta,4,v2,0.0,0.0,0.0,0.0
522.25,80,8,Delta,7,vz,0.0,0.0,0.0,0.0
522.25,81,8,Delta,8,Delta,0.0,0.0,0.0,0.0
550.0,1,4,v2,5,omega2,0.02172974306799885,0.5770002659121504,1.0,-112.47906101240284
550.0,2,5,omega2,4,v2,0.02172974306799885,0.5770002659121504,1.0,67.52093898759716
550.0,3,4,v2,8,Delta,0.011959506679047886,0.3175665037729444,0.5503749695347534,-22.50040827541689
550.0,4,5,omega2,0,y1,0.011959506679047886,0.3175665037729444,0.5503749695347534,-22.500408275416895
550.0,5,5,omega2,3,y2,0.011959506679047886,0.3175665037729444,0.5503749695347534,157.49959172458313
550.0,6,5,omega2,6,z,0.005979753330742082,0.15878325165328325,0.2751874843632366,-22.500408427645603
550.0,7,4,v2,3,y2,0.0026631903701763242,0.07071696830274268,0.12255968061115159,-103.05154193109166
550.0,8,1,v1,0,y1,0.0006211561956930286,0.016493857703070575,0.028585528772670968,17.280783404577083
550.0,9,5,omega2,5,omega2,0.000603616464970831,0.01602811684000258,0.027778352605547844,159.01914036743457
550.0,10,4,v2,4,v2,0.0005572465116187808,0.014796833279458809,0.025644413276079255,160.48712031114025
550.0,11,7,vz,0,y1,0.00040123147582723866,0.01065409137697465,0.01846462125997835,-22.500402378230845
550.0,12,7,vz,3,y2,0.00040123147582723866,0.01065409137697465,0.01846462125997835,-22.500402378230845
550.0,13,7,vz,6,z,0.00038954025687858455,0.010343648845689267,0.017926592857522378,-38.02932038710963
550.0,14,4,v2,0,y1,0.0002560861555367176,0.006799978231620855,0.011785052162620957,89.31630208307027
