Q,harmonic,median_energy_fraction,percentile_10,percentile_90,parity
522.25,1,0.9999941225404974,0.9999929159333459,0.999995563322971,odd
522.25,2,3.156842848249311e-06,2.5120427295477653e-06,3.6819543417782563e-06,even
522.25,3,8.821854649822201e-07,6.479478115145355e-07,1.0883732104886205e-06,odd
522.25,4,4.288295088499494e-07,3.031703844820544e-07,5.373215445377569e-07,even
522.25,5,2.568600883642615e-07,1.7719927715193545e-07,3.242859168650464e-07,odd
522.25,6,1.7162940901062315e-07,1.1786738303696046e-07,2.182387259590164e-07,even
522.25,7,1.2336132980968366e-07,8.40796761906096e-08,1.573682684404931e-07,odd
522.25,8,9.33003624599917e-08,6.313081745634874e-08,1.1904750360397482e-07,even
522.25,9,7.297076851961665e-08,4.927418637667036e-08,9.330538628786186e-08,odd
522.25,10,5.8703191522047314e-08,3.960548601776869e-08,7.515457130724322e-08,even
522.25,11,4.831920178028889e-08,3.2484560116593656e-08,6.18628851934796e-08,odd
522.25,12,4.043626943128406e-08,2.7147404754797142e-08,5.18295565963392e-08,even
550.0,1,0.9999901671776603,0.999988901345842,0.999992168288278,odd
550.0,2,5.8560313731385455e-06,5.084500233166041e-06,6.402130539812518e-06,even
550.0,3,1.2987641600920904e-06,9.31597243473126e-07,1.524862112675772e-06,odd
550.0,4,6.33020863052896e-07,4.370987717450486e-07,7.534101550636149e-07,even
550.0,5,3.7985188553042644e-07,2.572956680725109e-07,4.5509260721283435e-07,odd
550.0,6,2.5446159477210656e-07,1.7058275474613229e-07,3.060262528064354e-07,even
550.0,7,1.829281248145829e-07,1.2180734251067047e-07,2.2052267514697084e-07,odd
550.0,8,1.384252184121669e-07,9.177520794064726e-08,1.67104151375526e-07,even
550.0,9,1.0836235162162095e-07,7.162190858470683e-08,1.3094600276223854e-07,odd
550.0,10,8.722214761167652e-08,5.751216388664994e-08,1.054689164589146e-07,even
550.0,11,7.175217411827627e-08,4.72373933160412e-08,8.680977153756438e-08,odd
550.0,12,6.008427366830588e-08,3.9505002759726584e-08,7.272287146008838e-08,even
