history,period,amplitude_half_peak_to_peak,x_std,mean_support_power,mean_dissipation_power,mean_net_power,mean_abs_support_power,mean_local_excess_energy
low_history,1,5.871068707308247e-07,3.8615756460309155e-07,4.4574548692114374e-14,5.181954586662923e-14,-7.244997174514857e-15,1.3573766565707746e-13,2.6718379062002394e-13
low_history,2,5.652038653491953e-07,3.8539369768526676e-07,6.685729788331816e-14,6.129965812604724e-14,5.557639757270922e-15,1.4464597946377644e-13,2.804985367510642e-13
low_history,3,5.663185132231963e-07,4.1002487169785737e-07,5.798912275950927e-14,5.4010377958528676e-14,3.978744800980589e-15,1.419703149599551e-13,2.9475180060664783e-13
low_history,4,5.69554328616606e-07,3.927816988871674e-07,4.985328371761006e-14,6.123970389554632e-14,-1.1386420177936275e-14,1.4185522872099924e-13,2.877832547834494e-13
low_history,5,5.729497177253684e-07,4.035636301003639e-07,7.463464551887058e-14,5.931789372974506e-14,1.531675178912553e-14,1.5341472469908476e-13,2.958871932836946e-13
low_history,6,5.769959108281597e-07,4.1282671120687695e-07,4.5555854325102907e-14,5.77696789000966e-14,-1.2213824574993685e-14,1.4462520615508087e-13,3.032774169823951e-13
low_history,7,5.801172464348081e-07,3.958927510060656e-07,7.022692852290063e-14,6.496867083445854e-14,5.258257688442092e-15,1.5265123213928014e-13,2.964243757285288e-13
low_history,8,5.841624675095858e-07,4.227744379564717e-07,6.262099083834379e-14,5.756738483971774e-14,5.053605998626048e-15,1.5134109284692578e-13,3.1359076825959627e-13
low_history,9,5.875944895927798e-07,4.056158909078296e-07,5.249433726359992e-14,6.500339544138352e-14,-1.2509058177783603e-14,1.5079359085632932e-13,3.064477588182424e-13
low_history,10,5.907682982531082e-07,4.156534490855011e-07,7.9591393512086e-14,6.328922806080434e-14,1.6302165451281685e-14,1.6345209410447418e-13,3.1442550426662035e-13
low_history,11,5.94993145641709e-07,4.262357189493628e-07,4.871677800989466e-14,6.129405199037783e-14,-1.2577273980483166e-14,1.538500586324709e-13,3.228673367308819e-13
low_history,12,5.9830652390791e-07,4.081357792102171e-07,7.408061658901489e-14,6.916930243630239e-14,4.911314152712513e-15,1.6203643193036443e-13,3.1522231340013236e-13
low_history,13,6.025209398907716e-07,4.358580192843627e-07,6.736299647692639e-14,6.130234744508814e-14,6.060649031838248e-15,1.6124711060607287e-13,3.334737593034034e-13
low_history,14,6.060605798607899e-07,4.1883344419682494e-07,5.5257577459007354e-14,6.897983356931874e-14,-1.372225611031139e-14,1.6034850866520155e-13,3.2625558569454386e-13
low_history,15,6.093380139904347e-07,4.2811396115372405e-07,8.484527525214429e-14,6.75296591836852e-14,1.73156160684591e-14,1.7398923930440463e-13,3.341336869025129e-13
low_history,16,6.136631237052548e-07,4.4007071257545093e-07,5.212717406859266e-14,6.504085592551376e-14,-1.2913681856921106e-14,1.637679602459356e-13,3.4373504732696527e-13
low_history,17,6.172687652128417e-07,4.2079711666338273e-07,7.812918110183045e-14,7.363670760649406e-14,4.492473495336383e-15,1.720569254268174e-13,3.3524942656328526e-13
