mode,phase_feedback_enabled,kappa_feedback_enabled,lambda_retained_per_reference_period,block_standard_error,median_local_log_factor,first_half_lambda,second_half_lambda,second_minus_first_drift,discard_periods
FULL,1,1,0.006181778686723674,0.00017334221548704308,0.008598868182563103,0.005539118027524938,0.006824439345922405,0.001285321318397467,50
PHASE_ONLY,1,0,0.0029949866224824335,4.6121587722841436e-06,0.005196930961072696,0.0029903097778614983,0.002999663467103369,9.353689241870747e-06,50
KAPPA_ONLY,0,1,-0.04410734329812206,0.0002883636695302987,-0.04829062108089813,-0.04429368100469221,-0.0439210055915519,0.0003726754131403165,50
OPEN,0,0,-1.885014249452643,0.000768386834830455,-1.8852148470287675,-1.8854334129458798,-1.884595085959406,0.0008383269864737919,50

validation_or_effect,value
expected_open_lambda,-1.8849555921538759
measured_open_lambda,-1.885014249452643
open_absolute_mismatch,5.865729876708414e-05
open_tolerance,0.005
open_validation_pass,1
expected_full_lambda,0.006199075606542
measured_full_lambda,0.006181778686723674
full_absolute_mismatch,1.729691981832565e-05
phase_effect_over_open,1.8880092360751255
kappa_effect_over_open,1.840906906154521
full_excess_over_open,1.8911960281393667
kappa_added_to_phase,0.0031867920642412407
phase_added_to_kappa,0.05028912198484574
synergy,-1.8377201140902797
