period,full_local_log_factor,full_cumulative_lambda,full_rolling_lambda,full_x_rms_projection,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_rolling_lambda,phase_only_x_rms_projection,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_rolling_lambda,kappa_only_x_rms_projection,open_local_log_factor,open_cumulative_lambda,open_rolling_lambda,open_x_rms_projection
1.0,-1.0725175525165638,-1.0725175525165638,nan,0.09443124924410416,-1.6125481289182353,-1.6125481289182353,nan,0.09447337300283835,-1.134698422742933,-1.134698422742933,nan,0.09549720315841768,-1.842172993430238,-1.842172993430238,nan,0.09554238027080413
2.0,-0.8063583713753161,-0.9394379619459399,nan,0.0387173961657797,-0.3558371412040964,-0.9841926350611658,nan,0.06653904573176408,-2.0180461801256384,-1.5763723014342856,nan,0.04288533269674383,-1.8810233189921834,-1.8615981562112107,nan,0.08722533600524636
3.0,0.1535536432470391,-0.5751074268816135,nan,0.01631396419639231,0.16977403967749247,-0.5995370768149464,nan,0.017373620305143167,-1.300677760792324,-1.4844741212202983,nan,0.047077637146764974,-1.9231883934162906,-1.8821282352795707,nan,0.08312436387254891
4.0,-0.1868838992245234,-0.47805154496734104,nan,0.008124311099245028,-0.19367313423277144,-0.4980710911694026,nan,0.008147066251083293,-0.19920617854745132,-1.1631571355520867,nan,0.028100797581382647,-1.9304996787562476,-1.89422109614874,nan,0.08719344335644735
5.0,0.14537845913896366,-0.35336554414608007,nan,0.010215255993957312,0.1555303217954899,-0.3673508085764241,nan,0.010240956678040253,-0.0583992960129011,-0.9422055676442496,nan,0.009745978781251158,-1.8886149701137824,-1.8930998709417484,nan,0.09612114836331101
6.0,-0.011910905939011934,-0.2964564377782354,nan,0.008351000810220874,-0.03287015678195894,-0.3116040332773466,nan,0.008264468048500576,0.07143599250821722,-0.7732653076188384,nan,0.008791930388987053,-1.8424175733949606,-1.884652821350617,nan,0.1002826745082774
7.0,-0.10104531711386498,-0.26854056339761107,nan,0.008951299233225756,-0.08484893295668416,-0.27921044751725194,nan,0.009062688634108218,-0.23766808021815786,-0.6967514179901697,nan,0.008071820274108028,-1.8430502602113235,-1.8787095983307178,nan,0.09525745402615368
8.0,0.18513116530450693,-0.2118315973098463,nan,0.009854520526991114,0.1718271285547894,-0.22283075050824677,nan,0.009720071247647047,0.1490310396993425,-0.5910286107789807,nan,0.010162494398653014,-1.8826980150409258,-1.879208150419494,nan,0.0869695893586961
9.0,-0.18393063105468355,-0.20873148994816154,nan,0.007984557357032428,-0.1925021685701264,-0.21946090807067786,nan,0.008015547491265948,-0.15728546820208356,-0.5428349282704366,nan,0.007869612122410866,-1.924247898750215,-1.8842125669006853,nan,0.08312330023395158
10.0,0.13887513591240788,-0.17397082736210462,nan,0.010259283571997143,0.15360678450418483,-0.1821541388131916,nan,0.010315302990906978,-0.03665089227702798,-0.4922165246710957,nan,0.009431417887471706,-1.929778440109699,-1.888769154221587,nan,0.08747320949734587
11.0,-0.0037618490590927305,-0.1584972838800126,nan,0.008401147802427737,-0.029721686974409137,-0.1682966431914841,nan,0.008290054262664274,0.05824503236173124,-0.4421745649408387,nan,0.00892920232425706,-1.88663394820362,-1.8885750445835898,nan,0.09640885201481449
12.0,-0.10870086446708103,-0.15434758226226833,nan,0.008902245387722305,-0.08803446076797167,-0.16160812798952473,nan,0.009043604233592127,-0.23285137172138248,-0.424730965505884,nan,0.008155574324496236,-1.8415109083861718,-1.8846530332338052,nan,0.10024980180179517
13.0,0.1887870468651078,-0.1279526107909317,nan,0.009903867286881448,0.17357804695827728,-0.13582457607046303,nan,0.009740514639859844,0.15263519112067378,-0.38031818422691804,nan,0.01014016678562669,-1.8439790166617347,-1.8815242627282613,nan,0.09496838648595235
14.0,-0.18110528228339512,-0.13174923018325052,nan,0.007973730735616778,-0.1918190803258365,-0.1398241835172754,nan,0.008009444360628698,-0.1698795284513682,-0.3652868516715216,nan,0.007842398617741553,-1.884375119643791,-1.881727895365085,nan,0.08671983751199855
15.0,0.1318541775609534,-0.11417566966697025,nan,0.010230121027187462,0.1512431450724744,-0.12041969494462543,nan,0.010307067704666842,-0.019286783103996594,-0.3422201804336866,nan,0.009524343328884521,-1.9252601933539517,-1.8846300485643428,nan,0.08313335440803461
16.0,0.004355300704436628,-0.10676748401875732,nan,0.008441735509252616,-0.02661048899536497,-0.11455661957279664,nan,0.008303809426110283,0.0445400578193013,-0.3180476655428749,nan,0.008827538541079462,-1.9289877309839047,-1.8874024037155654,nan,0.08775961628436564
17.0,-0.11611377382202347,-0.10731726577189063,nan,0.008853165358954624,-0.09119591295060293,-0.11318246035972643,nan,0.00902382168529171,-0.2266299012233708,-0.31267014999466874,nan,0.008220619612753033,-1.8846499565599533,-1.8872404950593529,nan,0.09668942752148187
18.0,0.19211244859685425,-0.0906822816402937,nan,0.009951612621216337,0.17528407917320715,-0.09715654149678568,nan,0.00976076997264892,0.15480166349939467,-0.286699493689443,nan,0.010105410626673184,-1.8406725098723755,-1.8846533847711875,nan,0.10020410063925225
19.0,-0.17793498157734866,-0.09527452900540184,nan,0.00796466138176679,-0.19108012794147908,-0.10209988815176954,nan,0.008003607176267373,-0.18175138819426065,-0.2811759091896966,nan,0.007821698484800667,-1.844957697694254,-1.8825641380829279,nan,0.09467558321691658
20.0,0.12456103245903893,-0.08428275093217981,nan,0.010198560922878687,0.14883172613413762,-0.08955330743747418,nan,0.010298426608694186,-0.002112599214250604,-0.2672227436909243,nan,0.00961455024580125,-1.8860528433461046,-1.8827385733460869,nan,0.08647636618574667
21.0,0.012475150229756699,-0.07967523182923045,nan,0.008483839596113242,-0.023492731415395308,-0.08640756572213709,nan,0.008317812216561953,0.030350641731793956,-0.25305258248031864,nan,0.008728254843994343,-1.926223663839032,-1.884809291940989,nan,0.08315456452017378
22.0,-0.12326156259230014,-0.08165642868209726,nan,0.008804885782055285,-0.09432665891638202,-0.08676752450369368,nan,0.009004121242058042,-0.21903258459026803,-0.2515062189398618,nan,0.008290289950820892,-1.9281282158623805,-1.8867783339374158,nan,0.08805228334251994
23.0,0.19509732064363605,-0.06962365697228277,nan,0.009997635047279498,0.17694482494144131,-0.07530177017999215,nan,0.00978085143469124,0.1555308032014624,-0.2338089571076303,nan,0.010060366358419507,-1.8826665057805603,-1.8865995588001614,nan,0.09696240143633254
24.0,-0.17442945767183543,-0.07399056533476413,nan,0.007957354087319665,-0.19028580988281477,-0.08009277183427643,nan,0.007998024796487247,-0.19281645136466913,-0.23210093603500692,nan,0.0078074074105248335,-1.8399031364781249,-1.8846538745367434,nan,0.10014570909442329
25.0,0.11701134170511765,-0.06635048905316886,nan,0.010164717769200735,0.14637325017529454,-0.07103413095389359,nan,0.010289379369425207,0.014740006463220712,-0.22222729833507782,nan,0.009701067689013819,-1.8459847086518997,-1.8831071079013495,nan,0.09437944902263458
26.0,0.020585921991753436,-0.06300678093605647,nan,0.008527411718269541,-0.02036910440721262,-0.06908547608671355,nan,0.00833205997511782,0.015759896199656665,-0.2130739446991265,nan,0.008631964978762183,-1.8877293967175188,-1.883284888240433,nan,0.08623945493655326
27.0,-0.13012892972287557,-0.06549278644667939,nan,0.008757469560171972,-0.09742568159845283,-0.07013511332788908,nan,0.00898450731739434,-0.21010778191378784,-0.21296408681818801,nan,0.00836433344873191,-1.9271367243204103,-1.8849090303174691,nan,0.08318695605296698
