period,full_local_log_factor,full_cumulative_lambda,full_x_rms_half_separation,full_end_local_norm,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_x_rms_half_separation,phase_only_end_local_norm,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_x_rms_half_separation,kappa_only_end_local_norm,open_local_log_factor,open_cumulative_lambda,open_x_rms_half_separation,open_end_local_norm
1.0,-1.8984544148004652,-1.8984544148004652,3.7023685599618315e-07,1.4979996900631622e-07,-1.8991711468573733,-1.8991711468573733,3.7041030556755066e-07,1.496926410336994e-07,-1.8422136749669584,-1.8422136749669584,3.746233461437976e-07,1.584662447906435e-07,-1.84218237260989,-1.84218237260989,3.748090507114636e-07,1.5847120523525762e-07
2.0,-2.122042488096268,-2.0102484514483665,3.4705883639684415e-07,1.1978671554022368e-07,-2.1140550715159465,-2.00661310918666,3.478032133097375e-07,1.207473332577896e-07,-1.8996402099880811,-1.87092694247752,3.407259723032951e-07,1.4962244219998168e-07,-1.8810594672306082,-1.8616209199202491,3.4155814870633966e-07,1.5242852714900596e-07
3.0,-1.733232818912766,-1.9179099072698331,5.591416733514172e-07,1.7671220698922123e-07,-1.9318998499073037,-1.9817086894268747,5.402847962946268e-07,1.4487270047763081e-07,-2.010985845567596,-1.9176132435075453,3.372127571349767e-07,1.338566476177431e-07,-1.9231931629878076,-1.8821450009427687,3.2985188863228804e-07,1.461395688338942e-07
4.0,0.8492570862893744,-1.2261181588800312,1.8273645622209554e-06,2.337909341694013e-06,0.975474571789883,-1.2424128741226852,2.0621964447691234e-06,2.652425678746884e-06,-2.8358163749259546,-2.1471640263621476,4.153552168211679e-07,5.8670609063437395e-08,-1.9305052726124754,-1.8942350688601954,3.5100395449823913e-07,1.450748775994022e-07
5.0,-0.00928604564030906,-0.9827517362320867,8.143423926853269e-07,9.907569365347973e-07,-0.03699193960199726,-1.0013286872185476,8.043424935303031e-07,9.63683902994519e-07,0.7947013786308368,-1.5587909453635507,2.0042663626321002e-06,2.2137798161301444e-06,-1.8886218870455098,-1.8931124324972584,3.8652630547592753e-07,1.512801463766965e-07
6.0,-0.13942652073781706,-0.8421975336497084,7.773709657568061e-07,8.69856937303017e-07,-0.11019978942165849,-0.8528072042523994,7.871638115903152e-07,8.956551749914145e-07,-0.2383215604628596,-1.3387127145467688,7.683731396202209e-07,7.879492770185405e-07,-1.8424267790869169,-1.8846648235955348,3.9818019093675707e-07,1.5843247857899147e-07
7.0,0.27635559366625123,-0.6824042297474284,9.461175887304204e-07,1.3183165657108885e-06,0.25401142856133374,-0.6946902567075804,9.321685218874137e-07,1.2891865377323193e-06,0.2811938523373199,-1.1072974907061848,9.606947536056314e-07,1.3247103772506263e-06,-1.8430558108708963,-1.8787206789205864,3.73577755361742e-07,1.583328508521391e-07
8.0,-0.3089911877562081,-0.6357275994985259,7.142740323255344e-07,7.341872398354371e-07,-0.31944573031801876,-0.6477846909088852,7.12548085902544e-07,7.26551631032773e-07,-0.24599506357710713,-0.99963468731505,7.19402523195329e-07,7.819260848345579e-07,-1.8827021825513133,-1.8792183668744271,3.406364446251963e-07,1.5217833602480422e-07
9.0,0.24941663069440675,-0.5373782405881999,9.48714073068766e-07,1.2832765741204494e-06,0.2715993183639859,-0.5456309121007884,9.604730458519363e-07,1.3120611771564006e-06,-0.0005504372797122208,-0.8886253262000126,8.274529507787362e-07,9.994497141840952e-07,-1.9242491940104203,-1.8842217921117599,3.300540315169039e-07,1.4598532237443218e-07
10.0,-0.03521430695151389,-0.4871618472245314,7.900111832737397e-07,9.653985024777312e-07,-0.0721583818301524,-0.49828365907372485,7.768408851734443e-07,9.303835282963207e-07,0.09114923905199561,-0.7906478696748117,8.476489800663102e-07,1.0954324743652696e-06,-1.9297642156622794,-1.8887760344668116,3.522204527465403e-07,1.4518242619063974e-07
