period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
1.0,3.676515801877278e-07,2.3293857212883845e-07,0,-1.8420123642617448,-1.8420123642617448,-1.8424457666794445,-1.8424457666794445
2.0,5.168207418193941e-08,1.6056764247792898e-07,0,-1.8800240725192918,-1.8610182183905182,-1.880760704492556,-1.8616032355860002
3.0,1.0056045899069513e-08,8.824435525143966e-08,0,-1.9231711999478869,-1.881735878909641,-1.920560389827916,-1.8812556203333053
4.0,5.796931933180491e-09,1.585622253806811e-08,0,-1.9304996425402077,-1.8939268198172827,-1.9287967544314704,-1.8931409038578466
5.0,6.035144055281002e-09,6.728359947201589e-09,0,-1.8879326030350259,-1.8927279764608316,-1.887191970292579,-1.891951117144793
6.0,5.71091662087013e-09,5.920087978329209e-09,0,-1.8424448514076581,-1.884347455618636,-1.841016403782729,-1.8834619982511158
7.0,6.042761227606803e-09,5.93404564248141e-09,1,-1.8423421045399473,-1.8783466911788231,-1.8414577409973334,-1.8774613900720039
8.0,6.014686054707622e-09,5.9801479957416705e-09,1,-1.8826031435373474,-1.8788787477236386,-1.8810653448025474,-1.8779118844133218
9.0,5.866720253941493e-09,6.018272048956124e-09,1,-1.9243604608476503,-1.8839322714040843,-1.922444415066171,-1.8828599433747495
10.0,6.265655821582303e-09,6.054610998216743e-09,1,-1.9290203297449948,-1.8884410772381752,-1.9281345010542486,-1.8873873991426993
11.0,5.901536886942395e-09,6.094242261189674e-09,1,-1.8855801462936859,-1.8881809926068582,-1.8853813580922267,-1.8872050317744746
12.0,6.2244559739098986e-09,6.129706513909611e-09,1,-1.840981755599862,-1.8842477228562753,-1.8401763754883065,-1.8832859770839605
13.0,6.212842369572275e-09,6.169280277890827e-09,1,-1.8439404799484507,-1.8811471657095196,-1.842906554100092,-1.8801798676236632
14.0,6.044041517541182e-09,6.207332321100539e-09,1,-1.8846960239069732,-1.881400655580766,-1.8827226416098555,-1.8803614943369626
15.0,6.4635246414883825e-09,6.244655243283181e-09,1,-1.9249328252376618,-1.8843028002245592,-1.9228905735363249,-1.8831967662835867
