Q,periods,discard_periods,eta_kappa,lambda_eta_phase_0,lambda_eta_phase_1,eta_phase_critical,phase_margin_1_minus_critical,lambda_at_critical,phase_bracket_width,local_dlambda_deta_phase,boundary_valid,open_validation_pass
521.25,900,112,0.0,-1.8847923284672294,-0.0034011198191359338,nan,nan,nan,nan,nan,0,1
521.25,900,112,1.0,-0.019706793799306413,-0.00015192411538789147,nan,nan,nan,nan,nan,0,1
521.5,900,112,0.0,-1.884792328467252,-0.0036547616384879893,nan,nan,nan,nan,nan,0,1
521.5,900,112,1.0,-0.01975813622880218,-0.00039317559740230623,nan,nan,nan,nan,nan,0,1
521.75,900,112,0.0,-1.8847923284672743,-0.003350656748162295,nan,nan,nan,nan,nan,0,1
521.75,900,112,1.0,-0.019830366737076617,-5.031387191663848e-05,nan,nan,nan,nan,nan,0,1
522.0,900,112,0.0,-1.8847923284673007,-0.0035889245720278915,nan,nan,nan,nan,nan,0,1
522.0,900,112,1.0,-0.01990647522975512,-0.0002408842050074263,nan,nan,nan,nan,nan,0,1
522.25,900,112,0.0,-1.8847923284673256,-0.003262253690076639,nan,nan,nan,nan,nan,0,1
522.25,900,112,1.0,-0.01989948992637955,0.00010424886263966991,0.9979296875000001,0.0020703124999998934,-1.3907922029418314e-06,7.812500000003997e-05,0.05109606488151516,1,1
522.5,900,112,0.0,-1.8847923284673571,-0.0034050292545667526,nan,nan,nan,nan,nan,0,1
522.5,900,112,1.0,-0.01996838516864166,1.6439811952541917e-05,0.9997265625,0.00027343749999997335,1.1211815583619964e-06,7.812499999992895e-05,0.05601533223293987,1,1
522.75,900,112,0.0,-1.884792328467385,-0.003121891127122501,nan,nan,nan,nan,nan,0,1
522.75,900,112,1.0,-0.020128946743404777,0.0002937095038250871,0.9941015625,0.0058984374999999645,-1.8025420593853262e-06,7.812500000003997e-05,0.05026298782662513,1,1
