Q,periods,discard_periods,eta_kappa,lambda_eta_phase_0,lambda_eta_phase_1,eta_phase_critical,phase_margin_1_minus_critical,lambda_at_critical,phase_bracket_width,local_dlambda_deta_phase,boundary_valid,open_validation_pass
520.0,1200,150,0.0,-1.884832841721917,-0.0036588876280046084,nan,nan,nan,nan,nan,0,1
520.0,1200,150,0.25,-0.012629510926704841,-0.0029042296507834947,nan,nan,nan,nan,nan,0,1
520.0,1200,150,0.5,-0.01273634120539591,-0.0021761612662374048,nan,nan,nan,nan,nan,0,1
520.0,1200,150,0.75,-0.012837373436418121,-0.0011756513090380432,nan,nan,nan,nan,nan,0,1
520.0,1200,150,1.0,-0.012933372734311119,-0.00048518880066863106,nan,nan,nan,nan,nan,0,1
521.0,1200,150,0.0,-1.8848328417215807,-0.0036308050830697915,nan,nan,nan,nan,nan,0,1
521.0,1200,150,0.25,-0.012499165660412082,-0.002762763933457443,nan,nan,nan,nan,nan,0,1
521.0,1200,150,0.5,-0.012605158332250512,-0.002120744206296366,nan,nan,nan,nan,nan,0,1
521.0,1200,150,0.75,-0.012720224679429968,-0.0011288077142662086,nan,nan,nan,nan,nan,0,1
521.0,1200,150,1.0,-0.012844720613876507,-0.00027578889151111635,nan,nan,nan,nan,nan,0,1
522.0,1200,150,0.0,-1.8848328417210891,-0.0033865902848494666,nan,nan,nan,nan,nan,0,1
522.0,1200,150,0.25,-0.012693641211137517,-0.0023700149423187874,nan,nan,nan,nan,nan,0,1
522.0,1200,150,0.5,-0.012835220769284122,-0.0016654710174697294,nan,nan,nan,nan,nan,0,1
522.0,1200,150,0.75,-0.012972491550792631,-0.000784409223419799,nan,nan,nan,nan,nan,0,1
522.0,1200,150,1.0,-0.013104592315130044,0.00020674874039912014,0.996044921875,0.003955078124999956,-8.47613453226587e-07,9.76562500000222e-05,0.052689769840989484,1,1
522.25,1200,150,0.0,-1.8848328417209292,-0.003287580626398254,nan,nan,nan,nan,nan,0,1
522.25,1200,150,0.25,-0.012698661528424445,-0.002358030112750135,nan,nan,nan,nan,nan,0,1
522.25,1200,150,0.5,-0.01283059413277542,-0.0013975844234045322,nan,nan,nan,nan,nan,0,1
522.25,1200,150,0.75,-0.01295673533754865,-0.0007353659773118304,nan,nan,nan,nan,nan,0,1
522.25,1200,150,1.0,-0.013076805304617061,0.00019028370742037396,0.996630859375,0.0033691406250000444,1.313054102320648e-06,9.765624999991118e-05,0.056114906822651564,1,1
522.5,1200,150,0.0,-1.8848328417207538,-0.0030065504882155324,nan,nan,nan,nan,nan,0,1
522.5,1200,150,0.25,-0.012748143745334924,-0.002347132107763652,nan,nan,nan,nan,nan,0,1
522.5,1200,150,0.5,-0.012867409507895727,-0.0013799629158313008,nan,nan,nan,nan,nan,0,1
522.5,1200,150,0.75,-0.01298052811490972,-0.0005057778125767111,nan,nan,nan,nan,nan,0,1
522.5,1200,150,1.0,-0.013087654852924905,0.0001222130024189101,0.997607421875,0.0023925781250000444,6.388280708997345e-07,9.76562500000222e-05,0.050646768937896575,1,1
523.0,1200,150,0.0,-1.8848328417203464,-0.003063357988965481,nan,nan,nan,nan,nan,0,1
523.0,1200,150,0.25,-0.012873056783739636,-0.00207208400415,nan,nan,nan,nan,nan,0,1
523.0,1200,150,0.5,-0.01296758786104436,-0.0013233653016690521,nan,nan,nan,nan,nan,0,1
523.0,1200,150,0.75,-0.013058269521569226,-0.0006571146535746846,nan,nan,nan,nan,nan,0,1
523.0,1200,150,1.0,-0.013146439492822778,0.0003261440453339846,0.9939941406249999,0.006005859375000089,1.1431812981302227e-06,9.76562500000222e-05,0.054361371996383384,1,1
524.0,1200,150,0.0,-1.8848328417192404,-0.0029763295161101396,nan,nan,nan,nan,nan,0,1
524.0,1200,150,0.25,-0.012649138291894037,-0.002048777737487961,nan,nan,nan,nan,nan,0,1
524.0,1200,150,0.5,-0.012770560506821243,-0.001145520127565032,nan,nan,nan,nan,nan,0,1
524.0,1200,150,0.75,-0.012900096757591474,-0.0004980254244251412,nan,nan,nan,nan,nan,0,1
524.0,1200,150,1.0,-0.013036147164900883,0.000448112742248742,0.9920410156249999,0.007958984375000089,1.3725055822459433e-06,9.76562500000222e-05,0.05617070783130705,1,1
525.0,1200,150,0.0,-1.8848328417175635,-0.0025146948580288277,nan,nan,nan,nan,nan,0,1
525.0,1200,150,0.25,-0.01292162123944293,-0.001709495810205055,nan,nan,nan,nan,nan,0,1
525.0,1200,150,0.5,-0.01305147631861737,-0.000696269986563001,nan,nan,nan,nan,nan,0,1
525.0,1200,150,0.75,-0.013175955275482702,1.9884472904777307e-05,0.999560546875,0.0004394531250000444,-1.561868701210651e-06,9.76562500000222e-05,0.04880213040331358,1,1
525.0,1200,150,1.0,-0.01329475379724462,0.0007920009959213836,0.985400390625,0.014599609375000044,-1.7745340065450498e-06,9.76562500000222e-05,0.05347647617684466,1,1
530.0,1200,150,0.0,-1.8848328416793543,-0.0013697238830667111,nan,nan,nan,nan,nan,0,1
530.0,1200,150,0.25,-0.013178125527850195,-0.00040937828948297536,nan,nan,nan,nan,nan,0,1
530.0,1200,150,0.5,-0.013313500703357453,0.00028244010954416363,0.994189453125,0.005810546875000044,-1.531349300161929e-08,9.76562500000222e-05,0.04861579293410293,1,1
530.0,1200,150,0.75,-0.013449096281157777,0.0010571732227234619,0.9803222656249999,0.01967773437500009,-1.3928403898511287e-06,9.76562500000222e-05,0.05250836497678693,1,1
530.0,1200,150,1.0,-0.013583366945313183,0.0020508880823652594,0.9625488281249999,0.03745117187500013,2.514005957116554e-06,9.76562500000222e-05,0.05561381329937776,1,1
540.0,554,69,0.0,-1.8848723754297128,0.0009006702073547411,0.983349609375,0.016650390624999956,6.457487865761339e-08,9.76562500000222e-05,0.05401341666643445,1,1
540.0,554,69,0.25,-0.03812539574891452,0.0018245634627018802,0.9659667968749999,0.03403320312500013,7.084790466604242e-07,9.76562500000222e-05,0.05394963608527998,1,1
540.0,554,69,0.5,-0.03823142319319914,0.0026584441991082436,0.948974609375,0.051025390625,1.776803865078809e-06,9.76562500000222e-05,0.05297736126676158,1,1
540.0,554,69,0.75,-0.03833635813510631,0.003371289963052059,0.932861328125,0.067138671875,6.616245881809711e-07,9.76562500000222e-05,0.051518528323287203,1,1
540.0,554,69,1.0,-0.03843956245067733,0.003981716583798918,0.918017578125,0.08198242187500004,1.5653422342496951e-06,9.76562500000222e-05,0.049891727664963685,1,1
550.0,400,50,0.0,-1.884917550727838,0.002964501892059617,0.937548828125,0.062451171875000044,-1.0053011016437709e-06,9.76562500000222e-05,0.047188009335309526,1,1
550.0,400,50,0.25,-0.046097138761129995,0.0036344951787835853,0.925244140625,0.07475585937499996,8.817807093171116e-07,9.765624999991118e-05,0.0475952054145144,1,1
550.0,400,50,0.5,-0.0453878193216067,0.004414254962257415,0.9122558593750001,0.08774414062499991,1.4816512699710499e-06,9.765624999991118e-05,0.04865257537016499,1,1
550.0,400,50,0.75,-0.0447393209339057,0.005285676394685272,0.8980957031250001,0.10190429687499991,-2.0177609568121964e-06,9.76562500000222e-05,0.05012210714812719,1,1
550.0,400,50,1.0,-0.04413134508832195,0.006193993004937628,0.882861328125,0.11713867187500004,7.213253495224773e-07,9.76562500000222e-05,0.05159182174663301,1,1
