Q,segment_index,orientation_used_for_line_alignment,signed_overlap_with_previous_segment,line_overlap_with_previous_segment
522.25,1,1.0,nan,nan
522.25,2,-1.0,-0.9999857369383096,0.9999857369383096
522.25,3,1.0,-0.9999858406748718,0.9999858406748718
522.25,4,-1.0,-0.999985733605083,0.999985733605083
522.25,5,1.0,-0.9999858377863364,0.9999858377863364
522.25,6,-1.0,-0.9999857351675795,0.9999857351675795
522.25,7,1.0,-0.9999858417411465,0.9999858417411465
522.25,8,-1.0,-0.9999857352066395,0.9999857352066395
522.25,9,1.0,-0.9999858360042967,0.9999858360042967
522.25,10,-1.0,-0.9999857351892075,0.9999857351892075
522.25,11,1.0,-0.9999858391835121,0.9999858391835121
522.25,12,-1.0,-0.999985737303075,0.999985737303075
522.25,13,1.0,-0.9999858362548497,0.9999858362548497
522.25,14,-1.0,-0.9999857349507013,0.9999857349507013
522.25,15,1.0,-0.9999858374497684,0.9999858374497684
522.25,16,-1.0,-0.9999857383979257,0.9999857383979257
522.25,17,1.0,-0.999985837413196,0.999985837413196
522.25,18,-1.0,-0.9999857336399192,0.9999857336399192
522.25,19,1.0,-0.9999858373472956,0.9999858373472956
522.25,20,-1.0,-0.9999857363000118,0.9999857363000118
522.25,21,1.0,-0.9999858391154244,0.9999858391154244
522.25,22,-1.0,-0.9999857338908998,0.9999857338908998
522.25,23,1.0,-0.9999858371502534,0.9999858371502534
522.25,24,-1.0,-0.9999857348659986,0.9999857348659986
522.25,25,1.0,-0.999985839948123,0.999985839948123
522.25,26,-1.0,-0.9999857349168287,0.9999857349168287
522.25,27,1.0,-0.9999858359855096,0.9999858359855096
522.25,28,-1.0,-0.9999857349712525,0.9999857349712525
522.25,29,1.0,-0.9999858379632859,0.9999858379632859
522.25,30,-1.0,-0.9999857365926513,0.9999857365926513
522.25,31,1.0,-0.9999858358653942,0.9999858358653942
522.25,32,-1.0,-0.9999857352088024,0.9999857352088024
522.25,33,1.0,-0.9999858364232398,0.9999858364232398
522.25,34,-1.0,-0.9999857375972342,0.9999857375972342
522.25,35,1.0,-0.9999858363247881,0.9999858363247881
522.25,36,-1.0,-0.9999857346455705,0.9999857346455705
522.25,37,1.0,-0.9999858362543221,0.9999858362543221
522.25,38,-1.0,-0.9999857362118875,0.9999857362118875
522.25,39,1.0,-0.9999858374581403,0.9999858374581403
522.25,40,-1.0,-0.9999857346926755,0.9999857346926755
522.25,41,1.0,-0.999985836362558,0.999985836362558
522.25,42,-1.0,-0.9999857351263212,0.9999857351263212
522.25,43,1.0,-0.9999858380503649,0.9999858380503649
522.25,44,-1.0,-0.99998573519369,0.99998573519369
522.25,45,1.0,-0.9999858357801155,0.9999858357801155
522.25,46,-1.0,-0.9999857353124035,0.9999857353124035
522.25,47,1.0,-0.9999858366214911,0.9999858366214911
522.25,48,-1.0,-0.9999857364477055,0.9999857364477055
522.25,49,1.0,-0.9999858353265996,0.9999858353265996
522.25,50,-1.0,-0.9999857359857763,0.9999857359857763
522.25,51,1.0,-0.9999858352880355,0.9999858352880355
522.25,52,-1.0,-0.999985737352737,0.999985737352737
522.25,53,1.0,-0.9999858351386793,0.9999858351386793
522.25,54,-1.0,-0.9999857361413099,0.9999857361413099
522.25,55,1.0,-0.9999858350494837,0.9999858350494837
522.25,56,-1.0,-0.9999857366679059,0.9999857366679059
522.25,57,1.0,-0.9999858356972715,0.9999858356972715
522.25,58,-1.0,-0.9999857360197367,0.9999857360197367
522.25,59,1.0,-0.9999858354283564,0.9999858354283564
522.25,60,-1.0,-0.9999857359461638,0.9999857359461638
522.25,61,1.0,-0.9999858360288091,0.9999858360288091
522.25,62,-1.0,-0.9999857360424474,0.9999857360424474
522.25,63,1.0,-0.9999858354044574,0.9999858354044574
522.25,64,-1.0,-0.9999857362122564,0.9999857362122564
522.25,65,1.0,-0.9999858351456575,0.9999858351456575
522.25,66,-1.0,-0.9999857368637817,0.9999857368637817
522.25,67,1.0,-0.9999858346502163,0.9999858346502163
522.25,68,-1.0,-0.9999857372881263,0.9999857372881263
522.25,69,1.0,-0.999985834038473,0.999985834038473
522.25,70,-1.0,-0.9999857376464146,0.9999857376464146
522.25,71,1.0,-0.9999858338511882,0.9999858338511882
522.25,72,-1.0,-0.999985738145287,0.999985738145287
522.25,73,1.0,-0.9999858337307439,0.9999858337307439
522.25,74,-1.0,-0.9999857376575868,0.9999857376575868
522.25,75,1.0,-0.9999858338163741,0.9999858338163741
522.25,76,-1.0,-0.9999857378861474,0.9999857378861474
522.25,77,1.0,-0.9999858343482162,0.9999858343482162
522.25,78,-1.0,-0.9999857373253488,0.9999857373253488
522.25,79,1.0,-0.999985833863392,0.999985833863392
522.25,80,-1.0,-0.9999857374619253,0.9999857374619253
522.25,81,1.0,-0.999985834870441,0.999985834870441
522.25,82,-1.0,-0.9999857376734165,0.9999857376734165
522.25,83,1.0,-0.999985833527754,0.999985833527754
522.25,84,-1.0,-0.9999857378260785,0.9999857378260785
522.25,85,1.0,-0.9999858338428766,0.9999858338428766
522.25,86,-1.0,-0.999985739126335,0.999985739126335
522.25,87,1.0,-0.9999858326684895,0.9999858326684895
522.25,88,-1.0,-0.9999857384630864,0.9999857384630864
522.25,89,1.0,-0.9999858324591486,0.9999858324591486
522.25,90,-1.0,-0.9999857406788539,0.9999857406788539
522.25,91,1.0,-0.9999858322907411,0.9999858322907411
522.25,92,-1.0,-0.9999857391825075,0.9999857391825075
