Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,111000,1.333e-15,1.000000000000e+02,8.545e-04,1.019e-05
150,Stiffness,80500,5.914e-15,1.500000000000e+02,1.250e-03,1.620e-05
200,Stiffness,62500,1.676e-14,2.000000000000e+02,1.337e-03,2.186e-05
245,Stiffness,49000,3.932e-14,2.450000000000e+02,1.319e-03,2.589e-05
250,Stiffness,47500,3.117e-14,2.500000000000e+02,1.186e-03,2.584e-05
255,Stiffness,46000,1.792e-14,2.550000000000e+02,1.065e-03,2.541e-05
260,Stiffness,44500,1.061e-15,2.600000000000e+02,8.273e-04,2.440e-05
265,Stiffness,42500,5.063e-14,2.650000000000e+02,1.383e-03,2.440e-05
270,Stiffness,41500,1.609e-15,2.700000000000e+02,8.019e-04,2.081e-05
275,Stiffness,40500,1.912e-14,2.750000000000e+02,1.157e-03,1.682e-05
280,Stiffness,41500,1.159e-14,2.800000000000e+02,9.623e-04,9.641e-06
284,Stiffness,48000,8.364e-16,2.840000000000e+02,7.928e-04,2.135e-06
285,Stiffness,53500,4.168e-16,2.850000000000e+02,7.572e-04,7.056e-07
286,Stiffness,66000,1.385e-16,2.860000000000e+02,7.414e-04,1.179e-07
287,Converged,67483,2.059276583204e+02,2.870000000000e+02,9.548e-04,4.999e-08
288,Converged,71033,2.066101644653e+02,2.880000000000e+02,9.149e-04,4.999e-08
289,Converged,74150,2.072924947097e+02,2.890000000000e+02,1.133e-03,4.999e-08
290,Converged,76410,2.079746494744e+02,2.900000000000e+02,1.049e-03,5.000e-08
295,Converged,82755,2.113828056934e+02,2.950000000000e+02,9.303e-04,4.995e-08
300,Converged,85557,2.147866369802e+02,3.000000000000e+02,1.111e-03,4.999e-08
350,Converged,90960,2.485977452938e+02,3.500000000000e+02,1.061e-03,5.000e-08
400,Converged,89645,2.820264191799e+02,4.000000000000e+02,9.887e-04,5.000e-08
450,Converged,87649,3.151109899108e+02,4.500000000000e+02,7.973e-04,4.999e-08
500,Converged,85362,3.478841061514e+02,5.000000000000e+02,9.258e-04,4.996e-08
550,Converged,83294,3.803739566307e+02,5.500000000000e+02,8.640e-04,4.998e-08
600,Converged,81300,4.126051365680e+02,6.000000000000e+02,1.248e-03,5.000e-08
650,Converged,79564,4.445992867840e+02,6.500000000000e+02,1.044e-03,4.999e-08
700,Converged,77853,4.763755802795e+02,7.000000000000e+02,9.379e-04,4.999e-08
750,Converged,76335,5.079511021882e+02,7.500000000000e+02,8.429e-04,4.999e-08
800,Converged,74732,5.393411526400e+02,8.000000000000e+02,9.090e-04,4.997e-08
850,Converged,73272,5.705594922958e+02,8.500000000000e+02,9.455e-04,4.999e-08
900,Converged,71681,6.016185442367e+02,9.000000000000e+02,8.810e-04,4.996e-08
950,Converged,70021,6.325295619484e+02,9.500000000000e+02,9.164e-04,4.999e-08
1000,Converged,68111,6.633027705165e+02,1.000000000000e+03,1.064e-03,4.999e-08
1050,Converged,65631,6.939474863443e+02,1.050000000000e+03,9.932e-04,4.999e-08
1100,Converged,61840,7.244722194316e+02,1.100000000000e+03,9.642e-04,4.999e-08
1105,Converged,61267,7.275183994613e+02,1.105000000000e+03,1.038e-03,4.999e-08
1110,Converged,60629,7.305634655288e+02,1.110000000000e+03,9.315e-04,4.999e-08
1115,Converged,59957,7.336074249917e+02,1.115000000000e+03,9.673e-04,4.999e-08
1120,Converged,59035,7.366502851448e+02,1.120000000000e+03,1.005e-03,4.999e-08
1125,Converged,58138,7.396920532206e+02,1.125000000000e+03,8.385e-04,4.996e-08
1130,Converged,56841,7.427327363912e+02,1.130000000000e+03,9.375e-04,5.000e-08
1135,Converged,55241,7.457723417666e+02,1.135000000000e+03,8.426e-04,4.996e-08
1140,Converged,52853,7.488108763978e+02,1.140000000000e+03,9.437e-04,4.998e-08
1145,Converged,48582,7.518483472747e+02,1.145000000000e+03,8.836e-04,4.999e-08
1146,Converged,47536,7.524557144090e+02,1.146000000000e+03,1.024e-03,5.000e-08
1147,Converged,46840,7.530630393238e+02,1.147000000000e+03,7.659e-04,4.998e-08
1148,Stiffness,43500,0.000e+00,1.148000000000e+03,2.158e-05,1.551e-07
1149,Stiffness,40500,7.536e-16,1.149000000000e+03,9.638e-04,5.126e-07
1150,Stiffness,39500,0.000e+00,1.150000000000e+03,5.820e-05,7.981e-07
1200,Stiffness,32500,1.393e-13,1.200000000000e+03,9.084e-04,2.569e-05
1250,Stiffness,32500,2.875e-13,1.250000000000e+03,9.084e-04,4.122e-05
1300,Stiffness,33500,2.645e-13,1.300000000000e+03,1.306e-03,4.624e-05
1350,Stiffness,34500,2.231e-13,1.350000000000e+03,9.054e-04,4.922e-05
1400,Stiffness,35500,2.182e-13,1.400000000000e+03,1.085e-03,4.929e-05
1450,Stiffness,36500,6.758e-14,1.450000000000e+03,9.357e-04,4.732e-05
1500,Stiffness,37000,2.237e-13,1.500000000000e+03,8.382e-04,4.976e-05
1550,Stiffness,38000,2.765e-14,1.550000000000e+03,8.676e-04,4.561e-05
1600,Stiffness,38500,7.323e-14,1.600000000000e+03,8.058e-04,4.585e-05
1650,Stiffness,39000,2.002e-13,1.650000000000e+03,1.203e-03,4.629e-05
1700,Stiffness,39500,1.288e-13,1.700000000000e+03,8.045e-04,4.542e-05
1750,Stiffness,40000,1.172e-13,1.750000000000e+03,7.472e-04,4.453e-05
1800,Stiffness,40500,1.982e-13,1.800000000000e+03,1.116e-03,4.410e-05
1850,Stiffness,41000,1.325e-13,1.850000000000e+03,8.634e-04,4.289e-05
1900,Stiffness,41500,1.245e-13,1.900000000000e+03,1.155e-03,4.130e-05
1950,Stiffness,42000,6.337e-14,1.950000000000e+03,7.448e-04,4.002e-05
2000,Stiffness,42500,5.883e-14,2.000000000000e+03,9.607e-04,3.879e-05
