Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,613500,8.591e-16,1.000000000000e+00,1.044e-03,8.487e-07
2,Stiffness,723500,5.735e-16,2.000000000000e+00,1.341e-03,8.255e-07
3,Stiffness,832000,9.568e-16,3.000000000000e+00,1.036e-03,8.980e-07
4,Stiffness,972500,4.309e-16,4.000000000000e+00,1.462e-03,2.537e-05
5,Stiffness,1149500,8.050e-16,5.000000000000e+00,1.346e-03,7.834e-07
6,Stiffness,1368000,5.754e-16,6.000000000000e+00,1.034e-03,7.765e-07
7,Stiffness,2941000,6.600e-16,7.000000000000e+00,1.090e-03,4.762e-07
8,Stiffness,2916000,2.891e-15,8.000000000000e+00,6.123e-04,4.975e-05
9,Stiffness,2912000,1.029e-15,9.000000000000e+00,1.327e-03,3.663e-07
10,Stiffness,2677000,5.793e-16,1.000000000000e+01,1.326e-03,3.328e-07
11,Stiffness,2727000,1.265e-15,1.100000000000e+01,1.219e-03,3.560e-07
12,Stiffness,2951000,9.672e-16,1.200000000000e+01,9.252e-04,2.739e-07
13,Stiffness,1750000,7.108e-16,1.300000000000e+01,9.307e-04,1.211e-06
14,Stiffness,1269500,2.476e-15,1.400000000000e+01,6.112e-04,4.333e-05
15,Stiffness,1012500,3.083e-16,1.500000000000e+01,1.180e-03,1.371e-06
16,Stiffness,848000,7.229e-16,1.600000000000e+01,8.401e-04,1.523e-06
17,Stiffness,733500,1.634e-15,1.700000000000e+01,1.021e-03,1.695e-06
18,Stiffness,662500,6.432e-16,1.800000000000e+01,1.033e-03,1.620e-06
19,Stiffness,602000,6.096e-16,1.900000000000e+01,8.257e-04,1.660e-06
20,Stiffness,552500,1.391e-15,2.000000000000e+01,8.985e-04,1.736e-06
21,Stiffness,510000,1.546e-15,2.100000000000e+01,8.339e-04,1.846e-06
22,Stiffness,476000,8.436e-16,2.200000000000e+01,1.061e-03,1.939e-06
23,Stiffness,447500,1.211e-15,2.300000000000e+01,1.114e-03,1.999e-06
24,Stiffness,421500,1.354e-15,2.400000000000e+01,1.347e-03,2.119e-06
25,Stiffness,402000,5.575e-16,2.500000000000e+01,7.769e-04,2.116e-06
26,Stiffness,380500,8.938e-16,2.600000000000e+01,8.670e-04,2.289e-06
27,Stiffness,365000,1.033e-15,2.700000000000e+01,1.236e-03,2.296e-06
28,Stiffness,350000,0.000e+00,2.800000000000e+01,8.809e-04,2.372e-06
29,Stiffness,337500,1.605e-16,2.900000000000e+01,7.497e-04,2.373e-06
30,Stiffness,323500,6.207e-16,3.000000000000e+01,1.147e-03,2.553e-06
31,Stiffness,312000,4.507e-16,3.100000000000e+01,7.834e-04,2.636e-06
32,Stiffness,301500,1.165e-15,3.200000000000e+01,9.923e-04,2.730e-06
33,Stiffness,292000,5.650e-16,3.300000000000e+01,4.357e-04,2.813e-06
34,Stiffness,282500,1.509e-15,3.400000000000e+01,1.025e-03,2.952e-06
35,Stiffness,275000,6.664e-16,3.500000000000e+01,1.292e-03,2.976e-06
36,Stiffness,267500,6.481e-16,3.600000000000e+01,1.357e-03,3.047e-06
37,Stiffness,259500,6.308e-16,3.700000000000e+01,1.028e-03,3.212e-06
38,Stiffness,253500,6.145e-16,3.800000000000e+01,1.001e-03,3.239e-06
39,Stiffness,246500,9.583e-16,3.900000000000e+01,1.357e-03,3.408e-06
40,Stiffness,241000,1.052e-15,4.000000000000e+01,1.227e-03,3.451e-06
41,Stiffness,235000,9.123e-16,4.100000000000e+01,1.195e-03,3.587e-06
42,Stiffness,230000,3.341e-16,4.200000000000e+01,7.785e-04,3.662e-06
43,Stiffness,225500,6.528e-16,4.300000000000e+01,1.215e-03,3.691e-06
44,Stiffness,220000,6.382e-16,4.400000000000e+01,7.631e-04,3.890e-06
45,Stiffness,216000,8.324e-16,4.500000000000e+01,1.106e-03,3.910e-06
46,Stiffness,211000,1.018e-15,4.600000000000e+01,1.001e-03,4.122e-06
47,Stiffness,207500,9.969e-16,4.700000000000e+01,1.083e-03,4.140e-06
48,Stiffness,203500,1.953e-16,4.800000000000e+01,8.758e-04,4.264e-06
49,Stiffness,200000,5.741e-16,4.900000000000e+01,1.316e-03,4.329e-06
50,Stiffness,196500,0.000e+00,5.000000000000e+01,1.145e-03,4.432e-06
